Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,,,,,
"Energy and water use metrics for large buildings in calendar year 2014, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,,,,,
"Oct. 1, 2015",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel
New England Center for Homeless Veterans,Yes,Barracks,17 Court St.,02108," 130,000 ",49.8,58,,Barracks,1908,626.7,4.8," 6,477,934 ",100%,0%,0%,,,,,0302886000
Nine Zero-SV,Yes,Hotel,90 Tremont Street,02108," 190,440 ",113.8,44,,Hotel,2001,1483.3,7.8," 21,669,181 ",35%,65%,0%,,,,,0304697000
Old City Hall,Yes,Office,45 School Street ,02108," 97,230 ",97.3,70,,"Office, Restaurant",1862,765.3,7.9," 9,457,177 ",54%,13%,33%,25.09,,,,Not Available
One Beacon,Yes,Office,1 Beacon Street,02108," 1,279,675 ",86.9,88,"2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007","Data Center, Office, Parking",1973,8033.5,7.1," 98,721,187 ",50%,0%,50%,,,,,0302720000
One Boston Place,Yes,Office,One Boston Place,02108," 844,203 ",86.6,82,"2014, 2013, 2012, 2011, 2010, 2009, 2007",Office,1970,6024.9,7.1," 73,066,045 ",53%,0%,47%,8.50,,,,0302870000
One Washington Mall,Yes,Office,1 Washington Mall,02108," 156,169 ",76.5,82,,"Office, Retail Store",1972,988.6,6.3," 11,941,638 ",54%,0%,46%,17.22,,,,0302890000
Parkman House,Municipal,Other,33 Beacon St,02108," 18,000 ",66.6,Not applicable to this property type,,Other,2000,83.6, 4.6 ," 1,199,334 ",38%,62%,0%,0.73,,,,
Pi Alley Garage,Yes,Parking,275 Washington St,02108," 248,000 ",331.5,Not applicable to this property type,,"Other, Parking",1970,687.3,29.9," 7,623,949 ",85%,15%,0%,49.47,,,,0302875000
"Six Beacon Street, LLC",Yes,Office,6 Beacon Street,02108," 90,000 ",Not Available,Not Available,,Office,1900,0,0, Not Available ,0%,0%,0%,13.77,,,,0304695000
The Corner Mall,Yes,Office,413 Washington Street,02108," 246,887 ",73.9,69,,"Office, Performing Arts, Retail Store",1925,1574.5,6.4," 18,244,709 ",69%,7%,24%,31.58,,,,0304738000
Twenty-One Beacon Condominium,Yes,Multifamily Housing,21 Beacon Street,02108," 94,785 ",198.2,1,,"Convenience Store, Multifamily Housing, Office, Other - Restaurant/Bar",1900,1201.4,12.7," 18,786,329 ",25%,75%,0%,77.82,,,,302807000
Washington Jewelers Building,Yes,Retail Store,373-387 Washington St.,02108," 118,094 ",92.2,Not Available,,"Office, Retail Store",1920,946.9,8," 10,883,472 ",58%,2%,0%,,,,,0304734000
10 PO Square,Yes,Office,10 Post Office Square,02109," 405,797 ",44.6,89,,Office,1920,1749,4.3," 18,083,543 ",100%,0%,0%,9.95,,,,"0303879000, 0303880000,0303878000, 0303878010 "
148 State Street,Yes,Office,148 State Street,02109," 64,233 ",Not Available,Not Available,,"Office, Restaurant",1899,0,0, Not Available ,0%,0%,0%,,,,,0303751000
15 Broad st,Yes,Office,15 Broad St,02109," 73,000 ",89.2,77,,Office,1910,448.4,6.1," 6,513,144 ",36%,64%,0%,11.31,,,,0303836000
255 State Street Building,Yes,Office,255 State Street,02109," 202,022 ",62.8,79,,Office,1918,1227.5,6.1," 12,687,927 ",100%,0%,0%,,,,,Not Available
27 State Street,Yes,Office,25-27 State St,02109," 28,821 ",44.1,100,,Office,1974,67.4,2.3," 1,269,700 ",0%,100%,0%,,,,,Not Available
28 State Street,Yes,Office,28 State Street,02109," 631,442 ",77.5,67,2013,"Financial Office, Office, Parking",1968,4366.8,7.5," 45,137,381 ",100%,0%,0%,9.61,,,,0303694000
31 Milk Street,Yes,Office,31 Milk Street,02109," 94,733 ",64.9,78,,Office,1923,501.4,5.3," 6,145,129 ",65%,35%,0%,8.08,,,,0304642004
33751-Boston Marriott Long Wharf,Yes,Hotel,296 State Street,02109," 350,000 ",87.3,57,,Hotel,1990,2472.3,7.1," 30,565,457 ",64%,36%,0%,7298.91,,,,0303020000
38 Newbury St,Yes,Other,38 Newbury St,02109," 460,002 ",3086.3,Not applicable to this property type,,Other,1920,94303.6,205," 1,419,704,504 ",0%,0%,100%,1.52,,,,0501241000
40 Broad St.,Yes,Office,40 Broad St.,02109," 286,159 ",67.2,81,"2014, 2013, 2012, 2011, 2010","Office, Restaurant",1923,1729.5,6," 19,231,896 ",78%,0%,22%,,,,,0303824000
50 Congress St,Yes,Office,50 Congress Street,02109," 179,862 ",77.9,92,,"Bank Branch, Fast Food Restaurant, Office, Other",1915,1151.5,6.4," 14,008,152 ",35%,0%,0%,14.06,,,,0303874000
53 State Street,Yes,Office,53 State Street,02109," 1,340,916 ",55.5,86,"2014, 2013, 2010, 2009, 2008","Bank Branch, Convenience Store, Office, Parking, Restaurant",1985,6740.3,5.1," 73,359,104 ",84%,1%,15%,,,"Due to MACH uploads, cost for energy meters are not loaded.

Both Au Bon Pain and Cosi restaurants are sub-metered for electric use.  Cosi has their own Natural Gas meter.  ",,0303870000
64 Broad Street,Yes,Office,64 Broad Street,02109," 13,000 ",60.7,42,,Office,1847,76.3,5.9," 788,542 ",100%,0%,0%,8.83,,,,0303995000
75 State Street,Yes,Mixed Use Property,75 State Street,02109," 1,048,261 ",55.6,90,"2015, 2013, 2012, 2010, 2009, 2008","Financial Office, Office, Other, Other - Restaurant/Bar, Parking, Retail Store",1987,4374,5.4," 45,211,787 ",100%,0%,0%,10.96,,,,0303860000
82 Devonshire St,Yes,Office,55 Congress St,02109," 282,995 ",104,51,,Office,1974,2314.8,8.2," 29,421,920 ",59%,41%,0%,9.25,,,,03882000
84 State Street,Yes,Office,84 State Street,02109," 133,208 ",51,90,"2014, 2013, 2012, 2011","Office, Other, Restaurant",1902,622.6,4.7," 6,789,826 ",78%,0%,0%,11.08,,Tenants are separately metered. LPC receives whole building electricity usage quarterly from NSTAR.,,0303680-000
Battery Wharf Master Condo Assoc,Yes,Multifamily Housing,Battery Wharf Master Condominium Association,02109," 298,723 ",72.9,37,,Multifamily Housing,2007,1689,5.7," 21,786,261 ",56%,44%,0%,30.06,,,,0303041300
Burroughs Wharf Condominium,Yes,Multifamily Housing,40 & 50 Battery Street,02109," 110,113 ",32.4,100,,Multifamily Housing,1993,221.2,2," 3,562,746 ",21%,79%,0%,0.00,,,,0303040000
Christopher Columbus Plaza: 145 Commercial Street,Yes,Multifamily Housing,145 Commercial St,02109," 174,895 ",66,62,,Multifamily Housing,1976,784.7,4.5," 11,550,473 ",34%,66%,0%,25.90,,,,0303551000
Engine 08,Municipal,Fire Station,392 Hanover St,02109," 9,926 ",180.7,Not applicable to this property type,,Fire Station,2000,108.8, 11.0 ," 1,794,119 ",17%,83%,0%,4.03,,,,
Faneuil Hall,Municipal,Other - Mall,Faneuil Hall South Market St.,02109," 28,000 ",Not Available,Not applicable to this property type,,Other - Mall,2000,Not Available, Not Available , Not Available ,0%,0%,0%,6.42,,,,
Federal Express Building,Yes,Distribution Center,775 Summer Street,02109," 97,000 ",105.9,70,,"Distribution Center, Office",1995,622,6.4," 10,272,238 ",17%,83%,0%,,,,,0603405000
Fulton Court Condominium Trust,Yes,Multifamily Housing,100 Fulton Street,02109," 100,800 ",8.5,100,,Multifamily Housing,1990,82.5,0.8," 853,229 ",100%,0%,0%,20.44,,,,0303478000
Garage at Post Office Square,Yes,Parking,Zero Post Office Square,02109," 532,700 ",57.8,Not applicable to this property type,,"Other - Recreation, Parking",1990,279.6,5.6," 2,890,510 ",100%,0%,0%,,,"Parking Garage has restrooms which are open to the public 24 hours/7 days, accounting for a significant portion of water use.",,0304163000
Harborside Inn,Yes,Hotel,185 State Street,02109," 62,370 ",110.1,19,,Hotel,1875,517,8.3," 6,867,120 ",51%,49%,0%,33.12,,,,0303808000
MA0013ZZ - J W MCCORMACK BLDG,Yes,Office,5 POST OFFICE SQ,02109," 793,165 ",44.6,95,"2012, 2011","Courthouse, Office, Parking",1933,2887.1,3.7," 34,666,845 ",56%,0%,44%,4.63,,,,0303881000
MA0050ZZ - MOAKLEY COURTHOUSE,Yes,Courthouse,1 COURTHOUSE WAY,02109," 945,421 ",90.1,56,,"Courthouse, Parking",1998,6438.8,7," 82,465,197 ",57%,43%,0%,10.92,,,,0602671010
Marine Unit,Municipal,Fire Station,50 Battery St,02109," 2,000 ",279.4,Not applicable to this property type,,Fire Station,2000,54.1, 27.0 ," 558,749 ",100%,0%,0%,,,,,
Millennium Hotel Bostonian,Yes,Hotel,26 North Street,02109," 204,900 ",98.9,44,,Hotel,1982,1540.3,7.5," 20,269,222 ",52%,48%,0%,31.91,,,,0303365000
Mirabella Pool,Municipal,Other - Recreation,475 Commercial St,02109," 3,220 ",107.3,Not applicable to this property type,,Other - Recreation,2003,30.7, 9.5 ," 345,596 ",82%,18%,0%,,,,,
Old State House,Municipal,Office,206 Washington St,02109," 14,088 ",Not Available,Not Available,,Office,2000,0, -   , Not Available ,0%,0%,0%,5.33,,,,
One Liberty Square,Yes,Office,One Liberty Square,02109," 173,600 ",48.3,83,"2014, 2013, 2012, 2011",Office,1926,811,4.7," 8,382,497 ",100%,0%,0%,7.80,,Conducted energy audit 10/2010.  PM implementing and tracking ECMs.,,0303833000
One State,Yes,Office,1 State Street,02109," 64,428 ",Not Available,Not Available,,Office,1928,0,0, Not Available ,0%,0%,0%,,,,,Not Available
"Ponte Gadea Boston, LLC",Yes,Office,50 Milk Street,02109," 349,849 ",Not Available,Not Available,,"Office, Parking",1983,0,0, Not Available ,0%,0%,0%,6.02,,,,0303910000
San Marco/Lincoln Wharf Condominium Trust: Lincoln Wharf,Yes,Multifamily Housing,357 Commercial Street,02109," 310,000 ",32.3,98,,Multifamily Housing,1987,879.1,2.8," 10,013,767 ",60%,0%,0%,23.60,,,,0303039000
Union Wharf Condominiums,Yes,Multifamily Housing,343 Commercial Street,02109," 250,000 ",17.8,Not Available,,Multifamily Housing,1978,332.7,1.3," 4,443,207 ",50%,50%,0%,,,,,0303038200
100 Federal St.,Yes,Office,100 Federal St.,02110," 1,590,213 ",82.8,79,"2013, 2009","Data Center, Office, Parking",1970,10472.6,6.9," 125,596,119 ",56%,0%,44%,10.39,,,,0304410000
100 franklin st,Yes,Office,100 franklin st,02110," 94,438 ",84.9,63,,Office,1908,668.3,7.1," 8,019,944 ",69%,31%,0%,13.50,,,,0304666000
100 North Washington Street,Yes,Office,100 North Washington Street,02110," 55,943 ",47.3,89,,Office,1897,255.8,4.6," 2,643,701 ",100%,0%,0%,8.42,,,,0301512000
100 Summer Street,Yes,Office,100 Summer Street,02110," 1,240,006 ",68.4,80,"2014, 2013, 2012, 2011","Office, Other, Parking",1974,7109.6,5.8," 83,381,942 ",62%,0%,38%,7.99,,This building is a huge office building in downtown Boston.  It represents a single building only.  ,,0304220000
101 Summer,Yes,Office,101 Summer St.,02110," 48,905 ",96.6,49,,"Fast Food Restaurant, Office",1899,383.7,7.8," 4,724,530 ",64%,36%,0%,23.85,,,,0304577000
11 Beacon,Yes,Office,11 Beacon Street,02110," 146,388 ",85.2,87,,"Office, Other - Restaurant/Bar",1911,841.6,5.7," 12,465,939 ",33%,67%,0%,9.27,,,,0302804000
125 High Street,Yes,Office,125 High Street,02110," 3,254,370 ",37.1,Not Available,"2014, 2013, 2012, 2011, 2010, 2009","Office, Parking",1990,10137.6,3.6," 104,787,095 ",100%,0%,0%,0.86,,,,0304102000
160 Federal Street,Yes,Office,160 Federal Street,02110," 383,224 ",49.1,84,,"Office, Parking",1930,1682.6,4.8," 17,391,919 ",100%,0%,0%,8.84,,,,Not Available
175 Federal Street,Yes,Office,175 Federal Street`,02110," 227,365 ",57.3,83,"2014, 2012",Office,1977,1259.9,5.5," 13,022,969 ",100%,0%,0%,9.62,,,,0304231000
176 Federal Street,Yes,Office,176 Federal Street,02110," 76,323 ",89.3,Not Available,,"Office, Restaurant, Retail Store",1900,659.7,8.6," 6,818,827 ",100%,0%,0%,12.09,,,,0304379000
184 high st,Yes,Office,184 high st,02110," 65,842 ",93.7,73,,"Office, Other - Restaurant/Bar",1872,432.6,6.6," 6,167,139 ",39%,61%,0%,21.88,,,,0304047000
185 Devonshire Commercial Condo,Yes,Office,185 Devonshire Street,02110," 77,211 ",66.9,86,,Office,1920,423.6,5.5," 5,164,525 ",51%,0%,49%,15.67,,,,0304665000
2 Atlantic,Yes,Office,2 Atlantic Avenue,02110," 128,524 ",145.8,23,,"Office, Parking",1998,786.7,11.6," 9,917,984 ",60%,40%,0%,22.65,,"Construction renovation project on 3rd floor (about 18% of Building rsf) completed around July 2014
Mechanical system upgrade on 3rd floor completed around January 2015. Glycol system flush out occurred during November/December 2014.",,0303030010
2 Liberty Square,Yes,Office,87 Kilby Street,02110," 65,872 ",58.9,77,,Office,1913,375.5,5.7," 3,881,355 ",100%,0%,0%,4.40,,,,0303877000
2 Oliver St.,Yes,Office,2 Oliver St.,02110," 233,763 ",46.6,89,,Office,1900,1034,4.4," 10,884,678 ",96%,4%,0%,10.83,,,,0304026000
20 Custom House,Yes,Office,20 Custom House,02110," 96,032 ",159.4,18,,Office,1984,1480.8,15.4," 15,306,260 ",100%,0%,0%,33.51,,,,0303998000
20 Winthrop Square/ 77-93 Franklin Street/80 Arch Street,Yes,Office,20 Winthrop Square/ 77-93 Franklin Street/80 Arch Street,02110," 118,000 ",73.9,Not Available,,Office,1873,706.3,6," 8,714,694 ",48%,0%,52%,8.35,,"This property is a complex of 3 buildings with shared systems & we are reporting the 1 complex of 3 buildings per the advice of Nikhil Nadkarni at the City of Boston.  The other Parcel ID#'s associated with this property are 0304617000 85 Franklin and 0304616000 Winthrop LA  (aka 77 Franklin) Please note for purposes of the City of Boston reporting- the  aggregate electric data for the property was obtained from NSTAR via the BERDO portal.  Due to the dates of the billing cycles for both Boston Water and Sewer & Veoilia, the usage period reflected for the 2013 water bills is 1/06/2013-1/05/2014 (124,640 cubic feet) & Veolia steam is 1/03/2013-1/3/2014 (3775 klbs thousand lbs).  For 2014, the usage period reflected for the 2014 water bills is 1/5/14-1/8/15 (131,980 cubic feet) and Veolia Steam is 1/3/14-12/31/14 (3,728 klbs thousand lbs)




Default values were used for  # of computers, operating hours & # of workers since data was not available from all tenants. ",,0304615000
211 Congress St,Yes,Office,211 Congress St,02110," 78,881 ",71.2,89,,Office,1930,432.6,5.5," 5,618,687 ",55%,45%,0%,15.03,,,,0304398000
24 Federal Street,Yes,Office,24 Federal Street,02110," 74,406 ",90.3,57,,Office,1921,522.3,7," 6,717,374 ",56%,44%,0%,4.77,,,,Not Available
260 Franklin Street,Yes,Office,260 Franklin Street,02110," 405,650 ",66.9,81,"2015, 2012, 2011, 2010, 2007","Office, Parking",1984,2411.3,6.5," 24,923,910 ",100%,0%,0%,12.20,,,,0304023000
265 Franklin Street,Yes,Office,265 Franklin Street,02110," 406,902 ",61.2,Not applicable to this property type,,"Office, Parking, Restaurant, Retail Store",1984,2208.8,5.8," 23,370,060 ",93%,0%,7%,,,,,Not Available
27 School Street,Yes,Office,27 School Street,02110," 56,742 ",60.3,Not Available,,"Fitness Center/Gym, Office, Other - Restaurant/Bar",1903,301.5,5.3," 3,419,401 ",74%,5%,21%,37.95,,,,0302864000
3 PO Square,Yes,Office,79 Milk Street,02110," 65,120 ",131.6,38,,Office,1905,611.4,9.4," 8,567,654 ",42%,58%,0%,10.82,,,,Not Available
30 Federal Street,Yes,Office,30 Federal Street,02110," 50,000 ",55,86,,Office,1929,222.8,4.5," 2,751,467 ",64%,36%,0%,9.65,,,,0304671000
33 Arch Street,Yes,Office,33 Arch Street,02110," 1,003,309 ",76.8,77,"2014, 2013, 2012, 2011, 2010, 2009, 2008","Office, Parking",2004,4484.6,7.4," 46,354,701 ",100%,0%,0%,11.22,,,,0304643020
50 Federal St.,Yes,Office,50-60 Federal Street,02110," 71,880 ",117.3,Not Available,,"Medical Office, Office",1910,764.7,10.6," 8,434,064 ",80%,0%,20%,,,,,0304670000
50 Post Office Square (EPL),Yes,Office,185 Franklin Street,02110," 652,846 ",63.9,90,"2014, 2012",Office,1947,3634.7,5.6," 41,686,138 ",69%,0%,31%,14.75,,,,Not Available
70 FRANKLIN STREET,Yes,Office,70 FRANKLIN STREET,02110," 101,249 ",59.1,75,,"Office, Other",1989,578.6,5.7," 5,980,809 ",100%,0%,0%,,,,,04646-000
71-77 Summer,Yes,Office,71-77 Summer St.,02110," 62,622 ",71.3,65,,Office,1901,395.2,6.3," 4,467,306 ",81%,19%,0%,19.55,,,,0304561000 0304562000
75-101 Federal Street,Yes,Office,75-101 Federal Street,02110," 939,341 ",65.3,76,"2014, 2012, 2009","Bank Branch, Office, Parking, Retail Store",1929,5524.9,6.2," 58,015,394 ",95%,1%,4%,,,,,0304199
99 High Street,Yes,Office,99 High Street,02110," 804,264 ",79.1,86,"2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007","Bank Branch, Office, Other - Restaurant/Bar, Parking",1969,4518.6,6.2," 57,867,943 ",57%,43%,0%,21.20,,,,0304390000
Bay State Realty,Yes,Financial Office,88 Broad Street,02110," 63,680 ",Not Available,Not Available,,Financial Office,1924,Not Available,Not Available, Not Available ,0%,0%,0%,421.68,,,,03983-000
BE Realty,Yes,Office,133 Federal St,02110," 127,689 ",135.5,38,,"Office, Restaurant",1960,1372.2,10.7," 17,304,146 ",43%,0%,57%,13.37,,,,Not Available
Bradley Properties,Yes,Multifamily Housing,75 Federal Street 4th Floor,02110," 67,500 ",121.6,6,,Multifamily Housing,1990,509.5,7.5," 8,206,633 ",21%,79%,0%,42.27,,,,306986000
CBRE - 101 Arch St,Yes,Office,101 Arch Street,02110," 497,138 ",77.3,75,"2013, 2012, 2011, 2010, 2009","Fast Food Restaurant, Food Service, Office, Parking, Restaurant",1988,3481.3,7.3," 36,632,459 ",96%,4%,0%,,,,,0304597000
Commercial Wharf East Condominium,Yes,Multifamily Housing,49 Commercial Wharf,02110," 121,932 ",2.4,Not Available,,"Multifamily Housing, Office",1830,27.9,0.2," 290,305 ",98%,2%,0%,22.98,,I requested reports from Eversource and National Grid but  could not load them into the system so I manually input the information from the bills in 2014,,0303028406
Devonshire Arch,Yes,Hotel,159-175 Devonshire St.,02110," 7,279 ",545556.8,1,,Hotel,1908,263803.6,36241.7," 3,971,107,882 ",0%,0%,100%,594.45,,,,Not Available
DIV Tower Point LLC,Yes,Office,27-43 Wormwood Street,02110," 154,560 ",78.1,45,,Office,1877,1167.1,7.6," 12,064,119 ",100%,0%,0%,,,,,0602754010
Engine 10,Municipal,Fire Station,125 Purchase St,02110," 30,052 ",129.8,Not applicable to this property type,,Fire Station,2000,278.3, 9.3 ," 3,899,401 ",42%,58%,0%,4.87,,,,
FOLIOBOSTON CONDOMINIUM TRUST,Yes,Multifamily Housing,80 Broad Street,02110," 323,789 ",9.4,100,,Multifamily Housing,2006,294.6,0.9," 3,044,598 ",100%,0%,0%,11.38,,,,0303990010
Grant Manor Apartments,Yes,Multifamily Housing,75 Federal Street 4th Floor,02110," 152,212 ",104,66,,Multifamily Housing,1900,923.8,6.1," 15,826,561 ",12%,88%,0%,17.40,,,,0801675000
Harbor Garage,Yes,Other,70 East India Row,02110," 364,500 ",11.2,Not applicable to this property type,,Other,1969,393.3,1.1," 4,065,635 ",100%,0%,0%,8.36,,,,0302995000
Hilton Boston Faneuil,Yes,Hotel,89 Broad Street,02110," 306,927 ",131.8,Not Available,,"College/University, Hotel, Restaurant, Retail Store",1927,3034.4,9.9," 40,445,540 ",35%,15%,51%,47.28,,,,Not Available
Liberty Wharf-Boston Reporting,Yes,Restaurant,250 Northern Ave,02110," 75,661 ",184.8,Not Available,,"Office, Parking, Restaurant",2010,1235.1,16.3," 13,982,858 ",81%,19%,0%,76.36,,"Restaurants and office direct metered. Working to get aggregated WB data fro NSTAR. Sam getting account numbers for rest space. 

The water billing entered is just for 250 Northern Ave.  220(75 on Liberty Wharf) and 270(Legal’s) have their own water meters and accounts with Boston Water and Sewer.  The water meter readings that I enter are for all of the 250 building, office and restaurants.  

Hampshire House- Use Green button to obtain data
Rebel- Use Green Button",,0602673121
Madison Washington,Yes,Office,75 Federal Street,02110," 50,000 ",78.4,60,,Office,1980,292.8,5.9," 3,918,317 ",50%,50%,0%,6.74,,,,0902478000
Mission Park Apartments,Yes,Multifamily Housing,75 Federal Street 4th Floor,02110," 786,880 ",94.6,45,,Multifamily Housing,1990,4649.2,5.9," 74,450,061 ",21%,79%,0%,7.70,,,,1000290000
New England Aquarium,Yes,Other - Entertainment/Public Assembly,250 Atlantic Ave,02110," 136,000 ",179.9,Not applicable to this property type,,Other - Entertainment/Public Assembly,1969,2367,17.4," 24,466,230 ",100%,0%,0%,,,"Main Building, Central Wharf

New England Aquarium

Public Aquarium",,0302990000
One Federal Street,Yes,Office,One Federal Street,02110," 1,195,477 ",100.3,75,,"Office, Other, Parking, Restaurant",1975,9482.2,8.5," 112,161,727 ",60%,0%,40%,14.22,,,,1191515
One International Place,Yes,Office,One International Place,02110," 1,421,211 ",72.2,77,2014,"Data Center, Office, Other - Mall, Parking, Personal Services, Restaurant",1986,8176,7," 84,511,144 ",100%,0%,0%,12.59,,,,0304075000
One Winthrop Square,Yes,Office,1 Winthrop Square,02110," 114,257 ",70.8,73,,Office,1873,654.8,5.7," 8,094,991 ",64%,36%,0%,9.15,,,,0304618000
Riverway Plaza,Yes,Strip Mall,75 Federal Street 4th Floor,02110," 62,000 ",8.2,Not applicable to this property type,,"Parking, Strip Mall",1980,43,0.7," 511,398 ",71%,29%,0%,12.12,,,,1704030000
