Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Address of Record,DC Real Property ID,Owner of Record,PM Parent Property ID,PM Property ID,Parent Property Name,Ward,X-Coordinate (ESRI),Y-Coordinate (ESRI)
Camden Roosevelt,,2101 16th Street NW,Washington,District of Columbia,DC,20009,,,244643,,,2013,,,,,,,,,,2101 16TH ST NW,1880802,SUMMIT ROOSEVELT LLC,,,,1,,
Hampton Courts,,2013 New Hampshire Av NW,Washington,District of Columbia,DC,20009,,,91382,,,2013,,,,,,,,,,2013 NEW HAMPSHIRE AV NW,1890062,2013 NEW HAMP AVE NW LLC,,,,1,,
Somerset House Condominium Association,,"1801 16th Street, NW",Washington,District of Columbia,DC,20009,,,93914,,,2013,,,,,,,,,,1809 16TH ST NW,1910103,TENACITY 1801 16TH STREET LLC,,,,2,,
"Washington, District of Columbia Jewish Community Center",,1529 16th Street NW,Washington,District of Columbia,DC,20036,,,64844,,,2013,,,,,,,,,,1529 16TH ST NW,1940113,DC JEWISH COMMUNITY CENTER,,,,2,,
Carnegie Institution of Washington,,1530 P Street NW,Washington,District of Columbia,DC,20005,,,51761,,,2013,,,,,,,,,,1530 P ST NW,1950848,CARNEGIE INSTITUTION OF WASHINGTON,,,,2,,
The General Scott,,1 Scott Circle N.W,Washington,District of Columbia,DC,20036,,,97595,,,2013,,,,,,,,,,0001 SCOTT CIR NW,1952212,THE GENERAL SCOTT CONDO,,,,2,,
1101 16th St NW (DC Real Property identifier: 1970080),,1101 16th St NW,Washington,District of Columbia,DC,20036,,,73594,,,2013,,,,,,,,,,1101 16TH ST NW,1970080,NATIONAL SOFT DRINK ASSOCIATION,,,,2,,
American Association of University Women,,1111 16th Steet NW,Washington,District of Columbia,DC,20036,,,61863,,,2013,,,,,,,,,,1111 16TH ST NW,1970084,AMERICAN ASSOCIATION UNIV WOMEN,,,,2,,
The University club,,1135 16th street nw,Washington,District of Columbia,DC,20036,,,79330,,,2013,,,,,,,,,,1135 16TH ST NW,1970840,UNIVERSITY CLUB DC INC,,,,2,,
St. Regis Washington DC,,923 16 Street NW,Washington,District of Columbia,DC,20006,,,163249,,,2013,,,,,,,,,,0923 16TH ST,1990065,SRDC8 OWNER LLC,,,,2,,
AFL-CIO,,815 16th Street NW,Washington,District of Columbia,DC,20006,,,179490,,,2013,,,,,,,,,,0815 16TH ST NW,2000026,AFL & CIO TRUSTEES,,,,2,,
Bishops Gate Condo,,0011 Bishop's Gate Ct NW,Washington,District of Columbia,DC,20009,,,62766,,,2013,,,,,,,,,,0011 BISHOPS GATE CT NW,2072515,CONDOMINIUM #2515,,,,2,,
The Hudson,,1425 P St NW,Washington,District of Columbia,DC,20005,,,121250,,,2013,,,,,,,,,,1425 P ST,2090103,1425 P STREET LLC,,,,2,,
The DeSoto,,1445 P St NW,Washington,District of Columbia,DC,20005,,,57992,,,2013,,,,,,,,,,1445 P ST,2090929,METRO MARKET LLC,,,,2,,
Metro Condominium,,"1444 Church Street, NW",Washington,District of Columbia,DC,20005,,,51449,,,2013,,,,,,,,,,1444 CHURCH ST NW,2092636,THE METRO CONDOMINIUM,,,,2,,
Lofts 14,,1401 Church St NW,Washington,District of Columbia,DC,20005,,,77809,,,2013,,,,,,,,,,1401 CHURCH ST NW,2092675,1401 CHURCH ST CONDOMINIUM,,,,2,,
Metropole Condominium,,"1515 15th St, NW",Washington,District of Columbia,DC,20005,,,99909,,,2013,,,,,,,,,,1515 15TH ST NW,2092932,METROPOLE CONDOMINIUM,,,,2,,
The Newport West,,"1415 Rhode Island Ave, NW",Washington,District of Columbia,DC,20005,,,116324,,,2013,,,,,,,,,,1415 RHODE ISLAND AV NW,2100126,DAVID HORNSTEIN,,,,2,,
1440 P Street,,"1440 P Street, NW",Washington,District of Columbia,DC,20005,,,81306,,,2013,,,,,,,,,,1440 - 1446 P ST NW,2100128,S J GERSTENFELD,,,,2,,
The Seville Apartments,,"1401 N Street, NW",Washington,District of Columbia,DC,20005,,,115656,,,2013,,,,,,,,,,1401 N ST NW,2110037,ESTELLE S GELMAN TRUSTEE,,,,2,,
National City Christian Church Foundation,,5 Thomas Circle,Washington,District of Columbia,DC,20005,,,60599,,,2013,,,,,,,,,,0005 THOMAS CIR,2120852,NATIONAL CITY CHRISTIAN CHURCH CORP INC,,,,2,,
"Towne Terrace East, A Condominium",,"1420 N Street, NW",Washington,District of Columbia,DC,20005,,,87858,,,2013,,,,,,,,,,1420 N ST NW,2122226,TOWNE TERRACE EAST CONDO,,,,2,,
Town Terrace West Condominium,,1440 N St NW,Washington,District of Columbia,DC,20005,,,57887,,,2013,,,,,,,,,,1440 N ST NW,2122227,TOWNE TERRACE WEST CONDO,,,,2,,
1100 Vermont Avenue,,1100 Vermont Avenue,Washington,District of Columbia,DC,20005,,,96470,,,2013,,,,,,,,,,1100 VERMONT AV NW,2140850,7 K L C,,,,2,,
Westin DC,,1400 M St NW,Washington,District of Columbia,DC,20005,,,430128,,,2013,,,,,,,,,,1400 M ST NW,2140860,DIAMONDROCK DC M STREET OWNER LLC,,,,2,,
1090 Vermont Avenue NW,,1090 Vermont Avenue NW,Washington,District of Columbia,DC,20005,,,229257,,,2013,,,,,,,,,,1090 VERMONT AV NW,2160034,1090 VERMONT AVENUE NW ASSOCIATES,,,,2,,
Neon 23,,"1023 15th Street, NW",Washington,District of Columbia,DC,20005,,,66909,,,2013,,,,,,,,,,1023 15TH ST NW,2160035,NEON 23 LLC,,,,2,,
Continental Building,,"1012 14th Street, NW",Washington,District of Columbia,DC,20005,,,99360,,,2013,,,,,,,,,,1012 14TH ST NW,2170025,CONTINENTIAL BUILDING LP,,,,2,,
1400 L St. NW,,1400 L St. NW,Washington,District of Columbia,DC,20005,,,249411,,,2013,,,,,,,,,,1400 L ST NW,2170052,M C CAPITOL ASSOCIATES LLC,,,,2,,
1029 Vermont Ave,,1029 Vermont Ave NW,Washington,District of Columbia,DC,20005,,,51024,,,2013,,,,,,,,,,1029 VERMONT AV NW,2170805,VERMONT ASSOCIATES,,,,2,,
1411 K Street,,1411 K Street NW,Washington,District of Columbia,DC,20005,,,89172,,,2013,,,,,,,,,,1411 K ST NW,2170807,1411 K PROPERTY LP,,,,2,,
Jemal's Orme LLC,,1424 K Street NW DC,Washington,District of Columbia,DC,20005,,,51431,,,2013,,,,,,,,,,1424 K ST NW,2180014,JEMAL'S ORME LLC,,,,2,,
Rhodium,,"1420 K Street, NW",Washington,District of Columbia,DC,20005,,,64580,,,2013,,,,,,,,,,1420 K ST NW,2180824,RHODIUM LLC,,,,2,,
Willcap Holdings LLC,,"734 15th Street, NW",Washington,District of Columbia,DC,20005,,,87574,,,2013,,,,,,,,,,0734 15TH ST NW,2210818,WILLCAP HOLDINGS LLC,,,,2,,
0223-0025_NYAVE,,1440 New York Avenue,Washington,District of Columbia,DC,20005,,,228254,,,2013,,,,,,,,,,1435 G ST NW,2230025,1440 NEW YORK AVENUE CORPORATION,,,,2,,
"The Warehouses at Union Row, A Condominium",,"2125 14th Street, NW",Washington,District of Columbia,DC,20009,,,68190,,,2013,,,,,,,,,,2125 14TH ST NW,2352866,THE WAREHOUSE @ UNION ROW,,,,1,,
1390 V Street Condominium,,1390 V St NW,Washington,District of Columbia,DC,20009,,,60428,,,2013,,,,,,,,,,1390 V ST NW,2362676,LANGSTON HUGHES CONDO,,,,1,,
Frontiers East & West Condominia,,1326 S Street NW,Washington,District of Columbia,DC,20009,,,52545,,,2013,,,,,,,,,,1326 S ST NW,2392519,CONDOMINIUM #2519,,,,2,,
Eddystone,,1301 Vermont Av NW,Washington,District of Columbia,DC,20005,,,70406,,,2013,,,,,,,,,,1301 VERMONT AV NW,2430827,1301 VERMONT LLC,,,,2,,
Solo Piazza Condominium,,"1300 13th Street, NW",Washington,District of Columbia,DC,20005,,,86917,,,2013,,,,,,,,,,1300 13TH ST NW,2432538,SOLO PIAZZA CONDOMINIUM,,,,2,,
Crescent Towers Condo,,1239 Vermont Ave,Washington,District of Columbia,DC,20005,,,58708,,,2013,,,,,,,,,,1239 VERMONT AVE NW,2452247,CRESCENT TOWERS CONDO,,,,2,,
Krasner Building,,"1325 Massachusetts Avenue, NW",Washington,District of Columbia,DC,20005,,,67394,,,2013,,,,,,,,,,1325 MASSACHUSETTS AV NW,2460017,NATCA MEMBERSHIP INVESTMENT INC,,,,2,,
American Dental Assoication,,"1111 14th Street, NW",Washington,District of Columbia,DC,20005,,,82682,,,2013,,,,,,,,,,1111 14TH ST NW,2470093,AMERICAN DENTAL ASSOCIATION,,,,2,,
New York University Washington DC,,1307 L Street - NW,Washington,District of Columbia,DC,20005,,,69600,,,2013,,,,,,,,,,1307 L ST,2470103,NEW YORK UNIVERSITY,,,,2,,
Residences at Thompson Circle,,1330 Massachusetts Ave NW,Washington,District of Columbia,DC,20005,,,98503,,,2013,,,,,,,,,,1330 MASSACHUSETTS AVE NW,2473100,1330 MASS AVE CONDOMINIUM,,,,2,,
The Alta Condominium,,1133 14th Street NW,Washington,District of Columbia,DC,20005,,,89649,,,2013,,,,,,,,,,1133 14TH ST NW,2473113,THE ALTA CONDOMINIUM,,,,2,,
Ruthenium,,"1331 H Street, NW",Washington,District of Columbia,DC,20005,,,90458,,,2013,,,,,,,,,,1331 H ST NW,2500049,RUTHENIUM LLC,,,,2,,
Results Gym,,315 G Street SE,Washington,District of Columbia,DC,20005,,,50920,,,2013,,,,,,,,,,1315 G ST NW,2520836,CHURCH OF THE EPIPHANY,,,,2,,
The Westory Building (DDOE),,607 14th Street NW,Washington,District of Columbia,DC,20005,,,295451,,,2013,,,,,,,,,,0607 14TH ST NW,2530066,REEP-OFC WESTORY DC LLC,,,,2,,
Ra,,"1317 F Street, NW",Washington,District of Columbia,DC,20004,,,58916,,,2013,,,,,,,,,,1317 F ST NW,2530806,RA LLC,,,,2,,
International Office Building - 1319 F Street,,"1319 F Street, NW",Washington,District of Columbia,DC,20004,,,64850,,,2013,,,,,,,,,,1319 - 1321 F ST NW,2530807,OLIVE LIMITED PARTNSHIP,,,,2,,
National Theatre,,1325 Pennsylvania Avenue NW,Washington,District of Columbia,DC,20004,,,57202,,,2013,,,,,,,,,,1321 PENNSYLVANIA AV,2540840,NATIONAL PLACE LAND COMPANY LLC,,,,2,,
Vermont Avenue Baptist Church,,1630 Vermont Avenue NW,Washington,District of Columbia,DC,20009,,,76790,,,2013,,,,,,,,,,1630 - 1634 VERMONT AV NW,2770048,VERMONT AVENUE BAPTIST CHURCH,,,,2,,
Park Princess Condominium,,"1245 13th Street, N.W.",Washington,District of Columbia,DC,20005,,,81461,,,2013,,,,,,,,,,1245 13TH ST NW,2812255,LOGAN PARK CONDO,,,,2,,
1275 K Street,,"1275 K Street, NW",Washington,District of Columbia,DC,20005,,,320015,,,2013,,,,,,,,,,1275 - 1011 K ST NW,2840043,METRO K LLC,,,,2,,
CO/GLC 11114/730 12TH ST NW/WASHINGTON/DC,,730 12TH ST NW,Washington,District of Columbia,DC,20005,,,197259,,,2013,,,,,,,,,,0730 12TH ST,2880060,C & P TELEPHONE COMPANY,,,,2,,
Jemal's C&amp;P LLC,,722 12th Street NW,Washington,District of Columbia,DC,20005,,,54705,,,2013,,,,,,,,,,0722 12TH ST,2880061,C & P TELEPHONE COMPANY,,,,2,,
"1200 G Street, NW",,"1200 G Street, NW",Washington,District of Columbia,DC,20005,,,269751,,,2013,,,,,,,,,,1200 G ST NW,2890831,12TH & G STREETS ASSOCIATES,,,,2,,
Casa Iris Apartments,,2201 12th st nw ste.103,Washington,District of Columbia,DC,20009,,,328290,,,2013,,,,,,,,,,2201 12TH ST NW,3020074,NATIONAL HISPANIC COUNCIL ON AGING,,,,1,,
The Lincoln Condo,,2001 12th St NW,Washington,District of Columbia,DC,20001,,,133735,,,2013,,,,,,,,,,2001 12TH ST NW,3042506,THE LINCOLN CONDO,,,,1,,
M Street Towers,,"1112 M Street, NW",Washington,District of Columbia,DC,20005,,,95656,,,2013,,,,,,,,,,1112 M ST NW,3150027,WEST MADISON A CORPORATION,,,,2,,
Prince Hall,,1000 U Street NW,Washington,District of Columbia,DC,20001,,,83104,,,2013,,,,,,,,,,1000 U ST NW,3330037,PRINCE HALL FREEMASON & EASTERN STAR CHARITABLE,,,,1,,
The Eleven Condominiums - Whole Building,,1111 Eleventh Street NW,Washington,District of Columbia,DC,20001,,,80258,,,2013,,,,,,,,,,1111 11TH ST NW,3412634,"ELEVEN, A CONDOMINIUM",,,,2,,
Quincy Park,,1001 L Street NW,Washington,District of Columbia,DC,20001,,,80492,,,2013,,,,,,,,,,1001 L ST NW,3412648,QUINCY PARK CONDOMINIUM,,,,2,,
Henley Park Hotel,,926 Massachusetts Avenue Northwest D.C.,Washington,District of Columbia,DC,20001,,,59425,,,2013,,,,,,,,,,0926 MASSACHUSETTS AV,3710824,TUDOR LP,,,,2,,
Courtyard Marriott Convention Center,,"900 F Street, NW",Washington,District of Columbia,DC,20004,,,128772,,,2013,,,,,,,,,,0900 - 0908 F ST NW,3770846,900 F STREET ASSOCIATES LLC,,,,2,,
Ventana Condominium,,912 F St NW,Washington,District of Columbia,DC,20004,,,71283,,,2013,,,,,,,,,,0912 F ST NW,3773099,VENTANA CONDOMINIUM,,,,2,,
Artisan Condominium,,915 E St NW,Washington,District of Columbia,DC,20004,,,120274,,,2013,,,,,,,,,,0915 E ST NW,3773119,THE ARTISAN CONDO,,,,2,,
American Public Health Association,,800 I Street NW,Washington,District of Columbia,DC,20001,,,61006,,,2013,,,,,,,,,,0800 I ST NW,4040817,AMERICAN PUBLIC HEALTH ASSOC,,,,2,,
McCollough Terrace Apartments,,1210-1220 7th Street NW,Washington,District of Columbia,DC,20001,,,85571,,,2013,,,,,,,,,,1210 - 1220 7TH ST NW,4240027,UNITED HOUSE PRYR ALL PEOPLE CH RCK APOS,,,,6,,
Calvary Baptis Church,,755 8th St NW,Washington,District of Columbia,DC,20001,,,60904,,,2013,,,,,,,,,,0755 8TH ST,4290836,CALVARY BAPTIST CHURCH EXTENSION ASSN & CALVARY BAPTIST CHURCH CONGREG,,,,2,,
Jemal's Wonder LLC,,641 S Street NW DC,Washington,District of Columbia,DC,20001,,,96580,,,2013,,,,,,,,,,0641 S ST NW,4410848,JEMAL'S WONDER LLC,,,,1,,
Progression Place Office,,"1805 7th Street, NW",Washington,District of Columbia,DC,20001,,,106080,,,2013,,,,,,,,,,1805 7TH STREET NW,4412541,PROGRESSION PL OFFICE,,,,1,,
Washington Apartments,,"1204 5th Street, NW",Washington,District of Columbia,DC,20001,,,83049,,,2013,,,,,,,,,,1300 - 1312 6TH ST NW,4470041,WASHINGTON APARTMENT LP,,,,6,,
McCollough Canaanland Apartments,,"1202-1216 6th street, NW",Washington,District of Columbia,DC,20001,,,82800,,,2013,,,,,,,,,,1202 - 1216 6TH ST NW,4480111,BISHOP S C MADISON TRUSTEE,,,,6,,
Washington Apartments,,"1204 5th Street, NW",Washington,District of Columbia,DC,20001,,,73950,,,2013,,,,,,,,,,1205 7TH ST,4480112,WASHINGTON APARTMENT LP,,,,6,,
Wah Luck House,,800 6th Street NW,Washington,District of Columbia,DC,20001,,,149161,,,2013,,,,,,,,,,0800 6TH ST NW,4530052,WASHINGTON CHINATOWN DEVELOPMENT COMPANY,,,,2,,
Grand Lodge of IOOF,,419 7th Street NW,Washington,District of Columbia,DC,20004,,,64495,,,2013,,,,,,,,,,0419 7TH ST NW,4570036,GRAND LODGE OF IOOF,,,,2,,
633 Indiana,,"633 Indiana Avenue, NW",Washington,District of Columbia,DC,20004,,,175726,,,2013,,,,,,,,,,0633 INDIANA AV NW,4580023,CAPTAIN CO AMERICA LLC,,,,2,,
"601 Indiana Ave., NW",,"601 Indiana Ave., NW",Washington,District of Columbia,DC,20004,,,57083,,,2013,,,,,,,,,,0601 INDIANA AV NW,4580824,BHB LIMITED PARTNERSHIP,,,,2,,
St Dominic Church and Priory,,630 E ST SW,Washington,District of Columbia,DC,20024,,,59784,,,2013,,,,,,,,,,0630 E ST SW,4660841,SAINT DOMINIC'S CATHOLIC CHURCH,,,,6,,
Washington Apartments,,"1204 5th Street, NW",Washington,District of Columbia,DC,20001,,,65836,,,2013,,,,,,,,,,1200 - 1210 6TH ST NW,4810023,WASHINGTON APARTMENT LP,,,,6,,
Newseum Residences,,565 Pennsyvania Ave NW,Washington,District of Columbia,DC,20001,,,389719,,,2013,,,,,,,,,,555 PENNSYLVANIA AVENUE NW,4913139,555 PENNSYLVANIA AVE CONDO,,,,2,,
Holiday Inn Capitol,,"550 C Street, SW",Washington,District of Columbia,DC,20024,,,439048,,,2013,,,,,,,,,,0550 C ST SW,4930805,FEDERAL CENTER HOTEL ASSOCIATES,,,,6,,
FCP-500,,"500 C Street, SW",Washington,District of Columbia,DC,20024,,,436223,,,2013,,,,,,,,,,0500 C ST SW,4930806,FEDERAL CENTER OFFICE ASSOCIATES LLC,,,,6,,
FCP-400,,"400 C Street, SW",Washington,District of Columbia,DC,20024,,,505164,,,2013,,,,,,,,,,0400 C ST SW,4930808,FEDERAL CENTER OFFICE ASSOCIATES LLC,,,,6,,
475 School st,,475 School st sw,Washington,District of Columbia,DC,20024,,,80612,,,2013,,,,,,,,,,0475 SCHOOL ST SW,4940860,WILLSCHOOL HOLDINGS LLC,,,,6,,
Sonata Condominium - Whole Building,,301 Massachusetts Avenue NW,Washington,District of Columbia,DC,20001,,,68989,,,2013,,,,,,,,,,301 MASSACHUSETTS AVE NW,5282819,THE SONATA CONDO,,,,6,,
DC0321ZZ - JUDICIARY CENTER,,"555 4TH STREET, NW",Washington,District of Columbia,DC,20001,,,472168,,,2013,,,,,,,,,,0555 4TH ST NW,5310036,555 FOURTH STREET ASSOCIATES,,,,2,,
Residence Inn Capitol,,"333 E St, SW",Washington,District of Columbia,DC,20024,,,235962,,,2013,,,,,,,,,,333 E ST,5370809,SOUTHWEST CAPITOL ASSOCIATES LLC,,,,6,,
Waterfront Towers,,1101 3rd Street SW,Washington,District of Columbia,DC,20024,,,84168,,,2013,,,,,,,,,,1101 3RD ST SW,5422962,WATERFRONT TOWER,,,,6,,
251 Massachusetts Avenue LLC,,251 H St. NW,Washington,District of Columbia,DC,20001,,,93877,,,2013,,,,,,,,,,251 H ST,5600838,251 MASSACHUSETTS AVENUE LLC,,,,6,,
Julius Hobson Plaza,,55 M St NW,Washington,District of Columbia,DC,20001,,,65144,,,2013,,,,,,,,,,0055 M ST NW,6192284,JULIUS HOBSON PLAZA CONDO,,,,6,,
Washington DC PPH,,520 N Capitol St,Washington,District of Columbia,DC,20001,,,55820,,,2013,,,,,,,,,,0520 NORTH CAPITOL ST NW,6280174,PHOENIX PARK HOTEL OPERATING LLC,,,,6,,
Capital Plaza,,"35 E St., NW",Washington,District of Columbia,DC,20001,,,82478,,,2013,,,,,,,,,,0035 E ST NW,6280859,CAPITAL PLAZA PROPERTIES LLC,,,,6,,
Hotel George,,"15 E Street, NW",Washington,District of Columbia,DC,20001,,,88704,,,2013,,,,,,,,,,0015 E ST NW,6280876,LHO WASHINGTON HOTEL SIX LLC,,,,6,,
american federation of government employee,,80 f street nw,Washington,District of Columbia,DC,20001,,,142975,,,2013,,,,,,,,,,0080 F ST NW,6280895,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,,,,6,,
The Liaison Capitol Hill,,415 New Jersey Ave NW,Washington,District of Columbia,DC,20001,,,259770,,,2013,,,,,,,,,,0415 - 0427 NEW JERSEY AV NW,6300069,I&G CAPITOL INC,,,,6,,
IBT Headquarters,,25 Louisiana Ave NW,Washington,District of Columbia,DC,20001,,,92328,,,2013,,,,,,,,,,0025 LOUISIANA AV NW,6300072,INTERNATIONAL BROTHERHOOD OF TEAMSTERS,,,,6,,
Capitol Skyline Hotel,,10 I Street S.W.,Washington,District of Columbia,DC,20024,,,171867,,,2013,,,,,,,,,,0010 I ST SW,6460802,SOUTH CAPITOL HOLDINGS LLC,,,,6,,
U-Haul Moving &amp; Storage at S Capitol St SW,,1501 S Capitol St SW,Washington,District of Columbia,DC,20024,,,146322,,,2013,,,,,,,,,,0010 P ST SW,6570817,FIVE SAC RW MS LLC,,,,6,,
1300 First St NE,,"1300 1st Street, NE",Washington,District of Columbia,DC,20002,,,59178,,,2013,,,,,,,,,,1300 1ST ST NE,6710030,MS 1300 FIRST ST LLC,,,,6,,
Kaiser North Capitol,,"1011 North Capitol ST, N.E",Washington,District of Columbia,DC,20002,,,82678,,,2013,,,,,,,,,,1011 NORTH CAPITOL ST NE,6740438,KAISER FOUNDATION HEALTH ATTEN: PROPERTYMANAGER,,,,6,,
820 First Street NE,,820 1st ST NE,Washington,District of Columbia,DC,20002,,,417994,,,2013,,,,,,,,,,0820 1ST ST NE,6750843,820 FIRST STREET FINANCIAL ASSOCIATES LLC,,,,6,,
FERC,,"888 First Street, NE",Washington,District of Columbia,DC,20002,,,98980,,,2013,,,,,,,,,,0888 1ST ST NE,6750846,ROSCHE/888 FIRST STREET NE LLC,,,,6,,
Democratic Properties Corporation,,"430 South Capitol Street, SE",Washington,District of Columbia,DC,20003,,,77770,,,2013,,,,,,,,,,0430 SOUTH CAPITOL ST SE,6930086,DEMOCRATIC PROPERTIES CORPORATION,,,,6,,
Fluorine,,"900 2nd Street, NE",Washington,District of Columbia,DC,20002,,,216560,,,2013,,,,,,,,,,0900 2ND ST NE,7170812,FLUORINE LLC,,,,6,,
Republican National Committee,,0310 1ST St SE,Washington,District of Columbia,DC,20003,,,86102,,,2013,,,,,,,,,,0310 1ST ST SE,7330048,EDWARD W GILLESPIE,,,,6,,
Hill House,,"110 D Street, SE",Washington,District of Columbia,DC,20003,,,60842,,,2013,,,,,,,,,,0110 D ST SE,7330851,C CAFRITZ,,,,6,,
"Central Armature Works, Inc.",,1200 3RD ST NE,Washington,District of Columbia,DC,20002,,,62023,,,2013,,,,,,,,,,1200 3RD ST NE,7470008,CENTRAL ARMATURE WORKS INC,,,,6,,
Jemal's Uline LLC,,1140 3rd Street NE,Washington,District of Columbia,DC,20002,,,59862,,,2013,,,,,,,,,,1140 3RD ST NE,7480802,JEMAL'S ULINE LLC,,,,,,
Landmark Lofts,,215 I St NE,Washington,District of Columbia,DC,20002,,,62786,,,2013,,,,,,,,,,215 I ST NE,7512918,LANDMARK LOFTS,,,,6,,
The Heritage Foundation 214 Building,,"214 Massachusets Ave, NE",Washington,District of Columbia,DC,20002,,,63291,,,2013,,,,,,,,,,0208 MASSACHUSETTS AV NE,7550003,THE HERITAGE FOUNDATION,,,,6,,
The Heritage Foundation 208 Building,,208 Massachusetts Ave NE,Washington,District of Columbia,DC,20002,,,76589,,,2013,,,,,,,,,,0214 MASSACHUSETTS AV NE,7550849,HERITAGE FOUNDATION INC,,,,6,,
Folger Shakespeare Library,,201 East Capitol Street SE,Washington,District of Columbia,DC,20003,,,97632,,,2013,,,,,,,,,,0201 EAST CAPITOL ST SE,7600031,FOLGER SHAKESPEARE MEMORIAL LIBRARY,,,,6,,
144-Capitol Hill Hotel,,200 C Street Southeast,Washington,District of Columbia,DC,20003,,,88653,,,2013,,,,,,,,,,0200 - 0220 C ST SE,7620841,HHLP CAPITOL HILL ASSOCIATES LLC,,,,6,,
301 N Street LTD Partnership,,"301 N Street, NE",Washington,District of Columbia,DC,20002,,,86280,,,2013,,,,,,,,,,0301 N ST NE,7720022,301 N STREET LTD PARTNERSHIP,,,,6,,
Aria On L Street,,"300 L Street, N.E.",Washington,District of Columbia,DC,20002,,,58814,,,2013,,,,,,,,,,0300 L ST,7730278,A & W 300 L STREET LLC,,,,6,,
AVA H Street,,318 I Street NE,Washington,District of Columbia,DC,20002,,,94800,,,2013,,,,,,,,,,0318 I ST,7750050,AVALON 318 I STREET LLC,,,,6,,
WVUS DC Office,,901 3rd St,Washington,District of Columbia,DC,20002,,,56433,,,2013,,,,,,,,,,0901 3RD ST,7750828,WORLD VISION PROPERTIES LLC,,,,6,,
Results Gym,,315 G Street SE,Washington,District of Columbia,DC,20003,,,60462,,,2013,,,,,,,,,,0315 G ST SE,7960842,JANE E RAMSEY,,,,6,,
H Street Self Storage,,624 H Street NE,Washington,District of Columbia,DC,20002,,,147445,,,2013,,,,,,,,,,0630 H ST,8580864,H STREET SELF STORAGE LLC,,,,6,,
Community Connections Real Estate Foundation,,801 Pennsylvania Ave SE,Washington,District of Columbia,DC,20003,,,66601,,,2013,,,,,,,,,,0801 - 0402 PENNSYLVANIA AV SE,9250026,COMMUNITY CONNECTIONS REAL ESTATE FOUNDATION,,,,6,,
Maritime Plaza-1,,"1201 M Street, SE",Washington,District of Columbia,DC,20003,,,207338,,,2013,,,,,,,,,,1201 M ST SE,10250811,WASHINGTON GAS LIGHT CO,,,,6,,
Maritime Plaza-2,,1220 12th Street SE,Washington,District of Columbia,DC,20003,,,145117,,,2013,,,,,,,,,,1220 12TH ST,10250812,WASHINGTON GAS LIGHT CO,,,,6,,
Atlas Performing Arts Center,,1333 H Street NE,Washington,District of Columbia,DC,20002,,,53936,,,2013,,,,,,,,,,1313-1333 H ST,10270158,ATLAS PERFORMING ARTS CENTER,,,,6,,
Lincoln Park Terrace,,401 13th Street N.E.,Washington,District of Columbia,DC,20002,,,53883,,,2013,,,,,,,,,,0401 13TH ST NE,10302855,LINCOLN PARK TERR A CONDO,,,,6,,
3333 K Street NW,,"3333 K Street, NW",Washington,District of Columbia,DC,20007,,,83956,,,2013,,,,,,,,,,3333 K ST NW,11840049,FRIENDS OF THE LEGAL SERVICES CORPORATION,,,,2,,
Flour Mill Condominiums - COMMON SPACE,,1015 33rd Street NW,Washington,District of Columbia,DC,20007,,,89348,,,2013,,,,,,,,,,1015 33RD ST NW,11852381,THE FLOUR MILL CONDO,,,,2,,
Georgetown Suites,,1000 29th St. NW,Washington,District of Columbia,DC,20007,,,66678,,,2013,,,,,,,,,,1000 29TH ST NW,11920818,29TH & K ASSOCIATES LP,,,,2,,
James Place Condominium Association,,"1077 30th Street, NW",Washington,District of Columbia,DC,20007,,,87686,,,2013,,,,,,,,,,1077 30TH ST NW,11922386,JAMES PLACE CONDO,,,,2,,
Georgetown Place South,,1101 30th St NW,Washington,District of Columbia,DC,20007,,,278347,,,2013,,,,,,,,,,1101 - 1115 30TH ST NW,11960191,COLUMBIA REALTY VENTRUE LLC,,,,2,,
Jamestown - 3307 M Street,,3307 M Street,Washington,District of Columbia,DC,20007,,,156559,,,2013,,,,,,,,,,3307 - 3311 M ST NW,12050079,3307 M STREET LLC,,,,2,,
Madelon Condominium,,"3251 Prospect St., NW",Washington,District of Columbia,DC,20007,,,52581,,,2013,,,,,,,,,,3220 N STREET NW,12182754,MADELON CONDOMINIUM,,,,2,,
Holy Trinity Church and School,,"3514 O Street, NW",Washington,District of Columbia,DC,20007,,,80278,,,2013,,,,,,,,,,3514 O ST NW,12270095,ROMAN CATHOLIC ARCHBISHOP  OF WASHINGTON,,,,2,,
georgetown washington dc inn llc,,1310 wisconsin ave nw,Washington,District of Columbia,DC,20007,,,58722,,,2013,,,,,,,,,,1310 WISCONSIN AV NW,12310143,GEORGETOWN WASHINGTON DC INN LLC,,,,2,,
Kew Gardens,,2700 Q St NW,Washington,District of Columbia,DC,20007,,,120054,,,2013,,,,,,,,,,2700 Q ST NW,12660304,KEW BUILDING LLC,,,,2,,
