Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,,,,
"Energy and water use metrics for large buildings in calendar year 2015, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,,,,
"September 28, 2016",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),Tax Parcel,Years Reported
10/20 Channel Center,Yes,Office,10 Channel Center Street,02210,248760,60.5,83,,Office,1920,1457.0,5.9,15059804,100%,,,18.2,,0602757030 0602757045,"2014, 2015, 2016"
100 Arlington,Yes,Multifamily Housing,100 Arlington Street,02116,203204,67.6,14,,Food Sales Multifamily Housing,1926,1087.5,5.4,13740303,53%,25%,22%,18.5,,0500805000,"2015, 2016"
100 Ashford Street,Yes,Other - Stadium,100 Ashford Street,02215,96292,97.7,Not Available,,Other - Stadium,2002,660.8,6.9,9407114,39%,61%,,3.6,,Not Available,"2014, 2015, 2016"
100 Bay State Road,Yes,Office,100 Bay State Road,02215,123678,177.5,Not Available,,Food Service Office,2012,1623.7,13.1,21958186,48%,52%,,44.0,,Not Available,"2014, 2015, 2016"
100 Bay State Road,Yes,Restaurant,100 Bay State Road,02215,109614,27.5,Not Available,,Office Restaurant,2012,291.1,2.7,3009450,100%,,,,,Not Available,"2014, 2015, 2016"
100 Clarendon Street Garage,Yes,Other,100 Clarendon Street,02116,843168,20.7,Not Available,,Bank Branch Medical Office Office Other,1969,1645.3,2.0,17457097,94%,6%,0%,1.2,,0401082001,"2014, 2015, 2016"
100 East Newton Street (635 Albany) G Building,Yes,Medical Office,100 East Newton Street,02118,89406,307.1,1,,Medical Office,1969,2179.5,24.4,27457921,43%,0%,57%,43.4,,0801295000,"2014, 2015, 2016"
100 Federal St.,Yes,Office,100 Federal St.,02110,1478145,81.9,81,,Data Center Office Parking,1970,10065.5,6.8,120988965,55%,,45%,11.2,,0304410000,"2014, 2015, 2016"
100 franklin st,Yes,Office,100 franklin st,02110,94438,87.2,60,,Bank Branch Office,1908,698.5,7.4,8239101,73%,27%,,11.4,,0304666000,"2014, 2015, 2016"
100 High Street,Yes,Not Available,100 High Street,02110,Not Available,Not Available,Not Available,,Office Parking,1988,3383.0,Not Available,34968493,100%,,,,,0304408000,"2014, 2016"
100 Holton St,Yes,Office,100 Holton St,02135,115577,19.4,100,,Office,1975,122.0,1.1,2240884,3%,97%,,7.5,,2200966000,"2014, 2015, 2016"
100 Meadow Road LLC,Yes,Non-Refrigerated Warehouse,100-170 Meadow Road ,02136,198836,Not Available,Not Available,,Non-Refrigerated Warehouse,1958,Not Available,Not Available,Not Available,,,,0.2,,Not Available,2016
100 N Washington Street,Yes,Office,100 North Washington Street,02114,52973,39,89,,Office Parking,1897,199.7,3.8,2064397,100%,,,8.0,,Not Available,"2014, 2015, 2016"
100 Summer Street,Yes,Office,100 Summer Street,02110,1164826,78.3,75,,Fast Food Restaurant Office Other Parking,1974,7732.9,6.6,91216783,61%,,39%,9.7,,0304220000,"2014, 2015, 2016"
101 Dale St,Yes,Multifamily Housing,101 Dale St,02119,10532,193.4,Not Available,,Multifamily Housing Other - Education,1900,114.2,10.8,2036618,7%,93%,,144.4,,1200641000,2016
101 Huntington Ave,Yes,Office,101 Huntington Ave,02199,585345,75.3,87,,Office Parking,1972,3545.9,6.1,44068989,50%,,49%,9.5,,0401037101,"2014, 2015, 2016"
101 Merrimac Street,Yes,Office,101 Merrimac Street,02114,153905,72.6,75,,Office Parking,1990,1010.9,6.6,11174815,86%,14%,,18.6,,Not Available,"2014, 2015, 2016"
101 Summer,Yes,Office,101 Summer St.,02110,48905,92.1,50,,Fast Food Restaurant Office,1899,376.0,7.7,4502210,70%,30%,,23.0,,0304577000,"2014, 2015, 2016"
101 Tremont,Yes,Office,101 Tremont Street,02108,80344,41.5,Not Available,,Office,1901,263.6,3.3,3331546,60%,40%,,30.7,,0304717000,"2015, 2016"
1010 Massachusetts Ave,Municipal,Office,1010 Massachusetts Ave,02118,195000,59.9,86,,Other,2000,995.7,5.1,11676350,74%,26%,,1.6,,Not Available,2016
10-18 Buswell Street,Yes,Multifamily Housing,10-18 Buswell Street,02215,66456,226.9,1,,Multifamily Housing,1924,834.6,12.6,15081781,5%,95%,,73.5,,2100201000,"2014, 2015, 2016"
1019 Commonwealth Avenue,Yes,Residence Hall/Dormitory,1019 Commonwealth Avenue,02215,77750,67.9,75,,Residence Hall/Dormitory,1977,384.1,4.9,5281805,45%,55%,,31.6,,2100468000,"2014, 2015, 2016"
10-24 School Street,Yes,Office,10-24 School Street,02108,115413,94.3,81,,Office Retail Store,1925,900.2,7.8,10887252,54%,,46%,12.3,,Not Available,"2015, 2016"
103 CLAYTON STREET,Yes,Office,103 CLAYTON STREET,02122,40696,42.1,97,,Office,1912,123.5,3.0,1711550,44%,56%,,3.5,,1600579000,2016
105 Magazine St,Municipal,Other,105 Magazine St,02119,5150,173.3,Not Available,,Other,2000,49.4,9.6,892596,5%,95%,,,,Not Available,2016
10-50 Old Colony Ave.,Yes,Office,10-50 Old Colony Ave.,02127,75000,Not Available,Not Available,,Office,1924,Not Available,Not Available,Not Available,,,,4.0,,0600324000,"2014, 2016"
105-129 Kingston Street,Yes,Office,2 24 Edinboro Street,02111,75500,74.7,Not Available,,Office Retail Store,1910,433.0,5.7,5642996,34%,0%,66%,9.9,,0304421000,"2014, 2015, 2016"
109 Brookline Ave. - Ste # 602030,Yes,Office,109 BROOKLINE AVE,02215,305362,278.9,4,,Office Parking,1990,7737.7,25.3,85153993,87%,13%,,13.9,,2100071000,"2014, 2015, 2016"
1098-Jamaica Plain,Yes,Non-Refrigerated Warehouse,3175 Washington Street,02130,71057,35.2,5,,Non-Refrigerated Warehouse,2009,220.6,3.1,2500433,80%,20%,,0.3,,1102009000,"2014, 2015, 2016"
11 Beacon,Yes,Office,11 Beacon Street,02110,146388,78.9,92,,Office Other - Restaurant/Bar,1911,762.4,5.2,11554137,30%,70%,,9.8,,0302804000,"2014, 2015, 2016"
11 Elkins,Yes,Office,11 Elkins Street,02127,55000,24,99,,Office,1900,123.4,2.2,1319888,93%,7%,,4.6,,0603405060,"2014, 2015, 2016"
110 K Street,Yes,Office,110 K Street,02127,40000,38.1,89,,Office,1900,145.0,3.6,1525243,96%,4%,,4.4,,0603405060,"2014, 2015, 2016"
110-112 Cummington Street,Yes,College/University,110-112 Cummington Street,02215,48901,6.5,Not Available,,College/University,1923,16.8,0.3,316033,,100%,,3.9,,Not Available,"2014, 2015, 2016"
111 Cummington Street (664-666 Comm. Ave),Yes,College/University,111 Cummington Street (664-666 Comm. Ave),02215,93831,327,Not Available,,College/University,1911,2032.4,21.7,30680665,30%,70%,,10.3,,Not Available,"2014, 2015, 2016"
111 Huntington Ave,Yes,Office,111 Huntington Ave,02199,1034179,75.5,77,,Office,2001,6806.5,6.6,78114944,68%,0%,31%,13.9,,0401037500,"2014, 2015, 2016"
11-19 Deerfield Street,Yes,Office,11-19 Deerfield Street,02215,69435,85.7,88,,Office,1925,377.4,5.4,5948174,24%,76%,,10.5,,0503757001,"2014, 2015, 2016"
114 Western Ave,Yes,Office,114 Western Ave,02138,70849,59.6,74,,Office Other Urgent Care/Clinic/Outpatient,1925,396.3,5.6,4225603,93%,7%,,7.0,,2200268000,"2014, 2015, 2016"
1140 Boylston Street,Yes,College/University,1140 Boylston Street,02215,66920,103.4,Not Available,,College/University,1920,552.4,8.3,6917306,61%,39%,,8.5,,Not Available,"2014, 2015, 2016"
115 – West Roxbury,Yes,Supermarket/Grocery Store,1800 Centre St,02481,55929,275.9,71,,Parking Supermarket/Grocery,2002,1293.0,23.1,15431170,70%,30%,,3758.9,,2005752010,2016
115 Broad Street,Yes,Office,115 Broad Street,02110,56025,48.9,79,,Office,1900,264.7,4.7,2738580,100%,0%,,7.0,,Not Available,2016
116 Huntington,Yes,Office,116 Huntington Ave,02116,287141,59.8,83,,Office Parking Restaurant,1990,1662.4,5.8,17183562,100%,,,11.7,,0401013010,"2015, 2016"
119,Yes,Office,119 Braintree Street,02134,140974,36.4,99,,Office Parking,1908,402.2,2.9,5137152,58%,42%,,5.2,,2201867000,2016
"12 Commonwealth Avenue, Boston, MA",Yes,Multifamily Housing,12 Commonwealth Avenue,02116,42860,86.6,84,,Multifamily Housing,1920,286.9,6.7,3710840,14%,,,35.5,,Not Available,"2015, 2016"
120 Ashford Street,Yes,Distribution Center,120 Ashford Street,02215,65198,155.2,4,,Distribution Center Office Parking,1958,660.3,10.1,10119448,28%,72%,,5.6,,2100414000,"2014, 2015, 2016"
120 Herald Street,Yes,Other,120 Herald Street,02116,115680,1.9,Not Available,,Other Parking,1967,20.8,0.2,214858,100%,,,,,0500515000,"2014, 2015, 2016"
1230 Washington St,Yes,Manufacturing/Industrial Plant,1234 Washington St,02118,60990,34.1,Not Available,,Manufacturing/Industrial,1926,122.8,2.0,2080563,14%,86%,,8.1,,0306443000,"2014, 2015, 2016"
1249 Boylston Street,Yes,Office,1249 Boylston Street,02115,37495,92,Not Available,,Office Retail Store,1950,293.2,7.8,3448525,73%,27%,,4.5,,Not Available,2016
125 Magazine St,Municipal,Office,125 Magazine St,02119,8100,92.5,63,,Office,2000,47.1,5.8,749253,22%,78%,,,,Not Available,2016
125 Summer Street,Yes,Office,125 Summer Street,02110,521903,65.6,74,,Office Parking,1989,3311.0,6.3,34224063,100%,,,9.1,,0304256000,"2014, 2015, 2016"
1255 Boylston Street,Yes,Retail Store,1255 Boylston Street,02215,32835,67.2,45,,Office Retail Store,1950,213.6,6.5,2208054,100%,,,2.4,,Not Available,2016
126 Brookline Ave,Yes,Retail Store,126 Brookline Ave,02215,61406,260.1,1,,Office Retail Store,1920,1155.5,18.8,15972862,44%,56%,,83.9,,Not Available,2016
126 Newbury St,Yes,Retail Store,126 Newbury St,02116,49896,14.2,99,,Retail Store,1960,68.6,1.4,709154,100%,,,10.9,,Not Available,2016
1260 Boylston Street,Yes,Mixed Use Property,1252-1268 Boylston Street,02215,60000,Not Available,Not Available,,Office Other Restaurant Retail Store,1965,Not Available,0.0,Not Available,,,,,,Not Available,"2014, 2015, 2016"
1295 Boylston - Ste# 535088,Yes,Office,1295 BOYLSTON ST,02215,130751,177.2,12,,Office Parking Retail Store,1990,1964.8,15.0,23166941,73%,27%,,9.9,,0504210010,"2014, 2015, 2016"
131 Dartmouth Street,Yes,Office,131 Dartmouth Street,02116,371000,46.4,95,,Office Parking,2003,1666.9,4.5,17229967,100%,,,30.1,,00574000 00572000,"2014, 2016"
"1330 Boylston Street Properties, LLC",Yes,Multifamily Housing,1330 Boylston Street,02215,361502,59.8,Not Available,,Multifamily Housing Office Parking Retail Store,2008,1649.4,4.6,21610361,53%,47%,,38.2,,0504314014,"2015, 2016"
136 Mass Ave,Yes,College/University,150 Mass Ave,02215,36500,18.4,Not Available,,College/University,1900,64.8,1.8,670297,100%,,,,,Not Available,2016
137 Englewood Avenue,Yes,Multifamily Housing,137 Englewood Avenue,02135,56239,42.4,100,,Multifamily Housing,1935,161.0,2.9,2381794,33%,67%,,39.5,,2102331000,"2015, 2016"
137 Newbury Street,Yes,Office,137 Newbury St.,02116,51150,81.8,60,,Office,1929,337.6,6.6,4186223,63%,37%,,15.4,,0501339000,"2014, 2015, 2016"
1380 Soldiers Field Rd,Yes,Office,1380 Soldiers Field Rd,02134,76962,107.4,51,,Medical Office Office Parking,1990,643.8,8.4,8268281,57%,43%,,7.8,,2200578000,"2014, 2015, 2016"
140 Bay State Road,Yes,Residence Hall/Dormitory,140 Bay State Road,02215,128887,105,55,,Residence Hall/Dormitory,1958,850.2,6.6,13527480,22%,78%,,50.0,,0504003000,"2014, 2015, 2016"
140 Clarendon,Yes,Mixed Use Property,140 Clarendon Street,02116,146533,119.7,Not Available,,Barracks Fast Food Restaurant Hotel K-12 School Office Other Other - Lodging/Residential Other - Services Performing Arts Self-Storage Facility Social/Meeting Hall,1930,1442.3,9.8,17534313,52%,,48%,40.1,,0401085000,"2014, 2015, 2016"
140 Humboldt,Yes,Multifamily Housing,140 Humboldt Ave,02121,44352,44.1,91,,Multifamily Housing,1988,142.4,3.2,1957288,45%,55%,,43.2,,1202025000,"2015, 2016"
140 The Fenway,Yes,College/University,140 The Fenway,02115,148145,192.4,Not Available,,College/University,1912,2139.7,14.4,28502539,50%,50%,,17.6,,Not Available,"2014, 2015, 2016"
141 tremont street,Yes,Office,141 tremont street,02111,64884,87.1,36,,Office,1969,546.4,8.4,5648279,100%,0%,,13.4,,0304800000,"2014, 2015, 2016"
142 Berkeley Street,Yes,Office,140-144 Berkeley Street,02116,120000,106,88,,Office Personal Services Restaurant Retail Store,1890,1031.3,8.6,12726002,30%,,,17.8,,0401146000,2016
145 Newton Street,Yes,Manufacturing/Industrial Plant,145 Newton Street,02135,110510,46.3,Not Available,,Manufacturing/Industrial,1965,494.8,4.5,5114723,100%,,,1.1,,03428-000,"2014, 2015, 2016"
"1459 Realty Ventures, LLC",Yes,Multifamily Housing,1459-1461 VFW Parkway,02132,90390,85.7,59,,Multifamily Housing Parking,1968,453.1,5.0,7747559,12%,88%,,51.9,,2010637001,"2015, 2016"
148 State Street,Yes,Office,148 State Street,02109,64233,77.5,80,,Office Restaurant,1899,356.4,5.5,4979531,42%,58%,,13.5,,0303751000,"2014, 2015, 2016"
15 Broad st,Yes,Office,15 Broad St,02109,73561,86.4,81,,Office,1910,433.2,5.9,6357428,34%,66%,,9.5,,0303836000,"2014, 2015, 2016"
15 Elkins,Yes,Office,15 Elkins Street,02127,36000,118.9,23,,Office,1900,334.4,9.3,4280480,57%,43%,,7.4,,0603405060,"2014, 2015, 2016"
15 Guest Street,Yes,Parking,15 Guest Street,02135,115551,78.9,Not Available,,Office Parking,2001,882.1,7.6,9118229,100%,,,1.9,,01907-002,"2014, 2015, 2016"
15 St. Mary's Street (736-754 Commonwealth Ave),Yes,Laboratory,15 St. Mary's Street (736-754 Commonwealth Ave),02215,45985,178.4,Not Available,,Laboratory Parking,1990,789.7,17.2,8205239,99%,1%,,72.1,,Not Available,2016
150 Mass Ave,Yes,College/University,150 Mass Ave,02215,216000,112.5,Not Available,,College/University,1900,1788.4,8.3,24300143,47%,53%,,35.2,,Not Available,"2014, 2016"
150 Tremont St,Yes,Residence Hall/Dormitory,150 Tremont,02111,147336,71.7,53,,Residence Hall/Dormitory,1908,907.8,6.2,10568865,69%,10%,21%,35.1,,Not Available,"2014, 2016"
151 Merrimac Street,Yes,Office,151 Merrimac Street,02114,42476,31.6,Not Available,,Office,1887,115.3,2.7,1341467,75%,25%,,6.8,,0301680000,2016
151 W-BrookeLine St,Yes,Not Available,151 W-BrookeLine St,02118,Not Available,Not Available,Not Available,,,1900,15.5,Not Available,159832,100%,,,,,Not Available,2016
16 Westland Avenue,Yes,Multifamily Housing,16 Westland Ave,02115,30702,84.8,Not Available,,Multifamily Housing,1910,157.0,5.1,2604253,16%,84%,,58.3,,0401521000,"2015, 2016"
160 Mass Ave,Yes,Residence Hall/Dormitory,160 Mass Ave,02215,176000,157.8,17,,Residence Hall/Dormitory,2013,1902.8,10.8,27775831,35%,65%,,41.7,,Not Available,"2014, 2015, 2016"
162 Boylston St,Yes,Office,162 Boylston Street,02116,52191,40.2,Not Available,,Office Retail Store,1899,166.7,3.2,2100510,23%,,,4.2,,0500027000,2016
166 St-Botolph St,Yes,Not Available,166 St-Botolph St,02118,Not Available,Not Available,Not Available,,,1900,3.4,Not Available,35379,100%,,,,,Not Available,2016
1661 Washington St,Yes,Not Available,1661 Washington St,02118,Not Available,Not Available,Not Available,,,1900,148.1,Not Available,1531009,100%,,,,,Not Available,2016
170 Parkside Condominium Trust,Yes,Multifamily Housing,170 Tremont St ,02111,96696,78.3,38,,Multifamily Housing Parking,1985,553.7,5.7,7566995,46%,54%,,38.8,,0304842000,"2015, 2016"
170 Shawmut Ave,Yes,Manufacturing/Industrial Plant,170 Shawmut Avenue,02118,52224,40.8,Not Available,,Manufacturing/Industrial,1960,126.2,2.4,2132348,14%,86%,,2.3,,030616000,"2014, 2015, 2016"
172-The Boxer (Bulfinch) Hotel,Yes,Hotel,107 Merrimac Street,02114,47420,118.5,56,,Hotel,2005,383.9,8.1,5618625,35%,65%,,83.3,,Not Available,"2015, 2016"
175 Berkeley St. (0001),Yes,Office,175 Berkeley St.,02116,522349,76.5,86,,Office Parking Restaurant,1958,3221.2,6.2,39935713,63%,37%,,9.5,,0501153000 0501155000,"2014, 2015, 2016"
175 Federal Street,Yes,Office,175 Federal Street`,02110,227365,61,81,,Office,1977,1341.2,5.9,13863090,100%,,,10.0,,0304231000,"2014, 2015, 2016"
175 McClellan HWY,Yes,Mixed Use Property,144 Addison St,02128,405215,37.5,Not Available,,Manufacturing/Industrial Non-Refrigerated Warehouse Office Other Parking Worship Facility,1910,1085.9,2.7,15211693,42%,58%,,5.6,,00548-100,"2014, 2015, 2016"
175 North Harvard Street Building,Yes,Parking,175 North Harvard Street,02134,39709,101.7,Not Available,,Parking,2006,260.9,6.6,4037968,26%,74%,,,,2200534000,2016
176 Federal Street,Yes,Office,176 Federal Street,02110,76323,103.8,Not Available,,Office Restaurant Retail Store,1900,766.5,10.0,7923258,100%,,,16.0,,0304379000,"2015, 2016"
176 Lincoln St,Yes,Office,176 Lincoln St,02135,450000,0.1,100,,Office,2002,3.0,0.0,30712,100%,,,,,2200969000,"2014, 2015, 2016"
177 Huntington Ave.,Yes,Office,177 Huntington Ave.,02115,247733,140.9,45,,Office,1972,2648.1,10.7,34910136,32%,,67%,27.9,,0401150010,"2014, 2015, 2016"
177 Longwood Ave Dorms-collegeUniversity,Yes,College/University,177 Longwood Ave Dorms,02115,95631,60.1,Not Available,,College/University,1995,556.1,5.8,5748229,100%,,,25.4,,0401844000,"2014, 2015, 2016"
178-179 Tremont Street,Yes,Office,178-179 Tremont Street,02111,50600,124.4,50,,Office,1916,484.8,9.6,6294572,55%,45%,,20.3,,0304884000,"2014, 2015, 2016"
179 Lincoln Street,Yes,Office,179 Lincoln Street,02111,236461,63.2,90,,Office Parking,1899,1327.9,5.6,14940712,82%,18%,,7.4,,05332-000,"2014, 2015, 2016"
179 Longwood Ave-collegeUniversity,Yes,College/University,179 Longwood Ave,02115,347844,114.8,Not Available,,College/University,1995,2277.3,6.5,39938197,9%,91%,,21.4,,0401844000,"2014, 2015, 2016"
180 beacon condominium trust,Yes,Multifamily Housing,180 beacon street,02116,180000,Not Available,Not Available,,Multifamily Housing Parking,1968,Not Available,Not Available,Not Available,,,,,,Not Available,"2014, 2015, 2016"
180 Longwood,Yes,Other,180 Longwood,02115,61540,146.9,Not Available,,Other,1920,672.6,10.9,9037500,32%,,54%,6.8,,0401872000,"2014, 2015, 2016"
180 North Beacon Street,Yes,Multifamily Housing,180 North Beacon Street,02135,32955,3.3,100,,Multifamily Housing,1970,10.7,0.3,110092,100%,,,,,Not Available,2016
1809650030,Yes,Non-Refrigerated Warehouse,Meadow Road,02136,450919,Not Available,Not Available,,Non-Refrigerated Warehouse,1950,Not Available,Not Available,Not Available,,,,3.7,,Not Available,2016
183 Forest Hills St,Yes,Multifamily Housing,183 Forest Hills St,02130,66828,22.7,100,,Multifamily Housing,1900,126.6,1.9,1514262,70%,30%,,20.3,,1102906000,"2015, 2016"
184 High Street,Yes,Office,184 High Street,0210,50335,101.8,57,,Office,1903,524.1,10.4,5121592,44%,56%,,30.3,,Not Available,"2014, 2015, 2016"
185 Devonshire Commercial Condo,Yes,Office,185 Devonshire Street,02110,77211,69.1,84,,Office,1920,441.2,5.7,5337348,54%,,46%,14.3,,0304665000,"2014, 2015, 2016"
186 Lincoln Street,Yes,Office,186 Lincoln Street,02111,68350,50.6,Not Available,,Office,1899,292.6,4.3,3458108,57%,12%,,5.3,,030534010,"2014, 2015, 2016"
19 Hampden,Yes,Manufacturing/Industrial Plant,19 Hampden St,02119,35470,67.3,Not Available,,Manufacturing/Industrial,1997,155.5,4.4,2388150,27%,73%,,4.2,,0802130000,2016
1960-1980 Commonwealth Ave.,Yes,Multifamily Housing,"1960,1970,1980 Commonwealth Ave.",02135,141204,95.8,48,,Multifamily Housing,1937,781.7,5.5,13527798,11%,89%,,30.2,,02469-000,"2015, 2016"
