Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,electricity,3.1400,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,natural gas,1.0500,,,,,
"Energy and water use metrics for large buildings in calendar year 2015, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,electricity solar,1.0000,,,,,
"September 28, 2016",,,,,,,,,,,,,,,,,steam,1.2000,,,,,
,,,,,,,,,,,,,,,,,source:,https://portfoliomanager.zendesk.com/hc/en-us/articles/216670148-What-are-the-Site-to-Source-Conversion-Factors-,,,,,
100 Meadow Road LLC,Yes,Non-Refrigerated Warehouse,100-170 Meadow Road ,02136,198836,Not Available,Not Available,,Non-Refrigerated Warehouse,1958,Not Available,Not Available,Not Available,,,,0.2,,,,Not Available,2016,#VALUE!
100 N Washington Street,Yes,Office,100 North Washington Street,02114," 52,973 ",39,89,,"Office, Parking",1897,199.7,3.8," 2,064,397 ",100%,,,8.0,,,,Not Available,"2014, 2015, 2016",6482205.0100
100 Summer Street,Yes,Office,100 Summer Street,02110," 1,164,826 ",78.3,75,"2015, 2014, 2013, 2012, 2011","Fast Food Restaurant, Office, Other, Parking",1974,7732.9,6.6," 91,216,783 ",61%,,39%,9.7,,"This building is a large office building in downtown Boston.  It represents a single building only.  

The square footages used in previous time periods are inconsistent.  The current occupancy and vacancy numbers are a reasonable representation of the those in the past, and have been confirmed to be accurate over  the performance period.",,0304220000,"2014, 2015, 2016",217406079.6488
101 Dale St,Yes,Multifamily Housing,101 Dale St,02119," 10,532 ",193.4,Not Available,,"Multifamily Housing, Other - Education",1900,114.2,10.8," 2,036,618 ",7%,93%,,144.4,,,,1200641000,2016,2436405.7545
101 Huntington Ave,Yes,Office,101 Huntington Ave,02199," 585,345 ",75.3,87,"2015, 2014, 2012, 2011, 2010, 2009, 2008","Office, Parking",1972,3545.9,6.1," 44,068,988.8 ",50%,,49%,9.5,,,,0401037101,"2014, 2015, 2016",95100877.8304
101 Merrimac Street,Yes,Office,101 Merrimac Street,02114," 153,905 ",72.6,75,,"Office, Parking",1990,1010.9,6.6," 11,174,815 ",86%,14%,,18.6,,,,Not Available,"2014, 2015, 2016",31819167.3768
101 Summer,Yes,Office,101 Summer St.,02110," 48,905 ",92.1,50,,"Fast Food Restaurant, Office",1899,376.0,7.7," 4,502,210 ",70%,30%,,23.0,,,,0304577000,"2014, 2015, 2016",11314052.9761
101 Tremont,Yes,Office,101 Tremont Street,02108," 80,344 ",41.5,Not Available,,Office,1901,263.6,3.3," 3,331,546 ",60%,40%,,30.7,,,,0304717000,"2015, 2016",7675881.0624
1010 Massachusetts Ave,Municipal,Office,1010 Massachusetts Ave,02118,195000,59.9,86,,Other,2000,995.7,5.1,11676349.9,74%,26%,,1.6,,,,Not Available,2016,#VALUE!
10-18 Buswell Street,Yes,Multifamily Housing,10-18 Buswell Street,02215,66456,226.9,1,,Multifamily Housing,1924,834.6,12.6,15081781.1,5%,95%,,73.5,,,,2100201000,"2014, 2015, 2016",17411916.2800
1019 Commonwealth Avenue,Yes,Residence Hall/Dormitory,1019 Commonwealth Avenue,02215,77750,67.9,75,,Residence Hall/Dormitory,1977,384.1,4.9,5281804.8,45%,55%,,31.6,,,,2100468000,"2014, 2015, 2016",10513432.4544
10-24 School Street,Yes,Office,10-24 School Street,02108," 115,413 ",94.3,81,,"Office, Retail Store",1925,900.2,7.8," 10,887,252 ",54%,,46%,12.3,,,,Not Available,"2015, 2016",24470188.2695
103 CLAYTON STREET,Yes,Office,103 CLAYTON STREET,02122,40696,42.1,97,,Office,1912,123.5,3.0,1711550.1,44%,56%,,3.5,,,,1600579000,2016,3371069.0770
105 Magazine St,Municipal,Other,105 Magazine St,02119,5150,173.3,Not Available,,Other,2000,49.4,9.6,892595.6,5%,95%,,,,,,Not Available,2016,#VALUE!
10-50 Old Colony Ave.,Yes,Office,10-50 Old Colony Ave.,02127," 75,000 ",Not Available,Not Available,,Office,1924,Not Available,Not Available,Not Available,,,,4.0,,,,0600324000,"2014, 2016",#VALUE!
105-129 Kingston Street,Yes,Office,2 24 Edinboro Street,02111," 75,500 ",74.7,Not Available,,"Office, Retail Store",1910,433.0,5.7," 5,642,996 ",34%,0%,66%,9.9,,,,0304421000,"2014, 2015, 2016",10493714.9897
109 Brookline Ave. - Ste # 602030,Yes,Office,109 BROOKLINE AVE,02215," 305,362 ",278.9,4,,"Office, Parking",1990,7737.7,25.3," 85,153,993 ",87%,13%,,13.9,,,,2100071000,"2014, 2015, 2016",244247197.2614
1098-Jamaica Plain,Yes,Non-Refrigerated Warehouse,3175 Washington Street,02130," 71,057 ",35.2,5,,Non-Refrigerated Warehouse,2009,220.6,3.1," 2,500,433 ",80%,20%,,0.3,,,,1102009000,"2014, 2015, 2016",6806179.4426
11 Beacon,Yes,Office,11 Beacon Street,02110," 146,388 ",78.9,92,,"Office, Other - Restaurant/Bar",1911,762.4,5.2," 11,554,137 ",30%,70%,,9.8,,,,0302804000,"2014, 2015, 2016",19376288.4198
11 Elkins,Yes,Office,11 Elkins Street,02127," 55,000 ",24,99,,Office,1900,123.4,2.2," 1,319,888 ",93%,7%,,4.6,,,,0603405060,"2014, 2015, 2016",3951347.5081
110 K Street,Yes,Office,110 K Street,02127," 40,000 ",38.1,89,,Office,1900,145.0,3.6," 1,525,243 ",96%,4%,,4.4,,,,0603405060,"2014, 2015, 2016",4661751.7883
110-112 Cummington Street,Yes,College/University,110-112 Cummington Street,02215,48901,6.5,Not Available,,College/University,1923,16.8,0.3,316033.3,,100%,,3.9,,,,Not Available,"2014, 2015, 2016",331834.9650
111 Cummington Street (664-666 Comm. Ave),Yes,College/University,111 Cummington Street (664-666 Comm. Ave),02215,93831,327,Not Available,,College/University,1911,2032.4,21.7,30680664.5,30%,70%,,10.3,,,,Not Available,"2014, 2015, 2016",51451474.3665
111 Huntington Ave,Yes,Office,111 Huntington Ave,02199," 1,034,179 ",75.5,77,"2015, 2014, 2012, 2011, 2010, 2009, 2008, 2007, 2003",Office,2001,6806.5,6.6," 78,114,944 ",68%,0%,31%,13.9,,,,0401037500,"2014, 2015, 2016",195849786.3432
11-19 Deerfield Street,Yes,Office,11-19 Deerfield Street,02215,69435,85.7,88,,Office,1925,377.4,5.4,5948173.8,24%,76%,,10.5,,,,0503757001,"2014, 2015, 2016",9229186.4681
114 Western Ave,Yes,Office,114 Western Ave,02138," 70,849 ",59.6,74,,"Office, Other, Urgent Care/Clinic/Outpatient",1925,396.3,5.6," 4,225,603 ",93%,7%,,7.0,,,,2200268000,"2014, 2015, 2016",12650186.8030
1140 Boylston Street,Yes,College/University,1140 Boylston Street,02215," 66,920 ",103.4,Not Available,,College/University,1920,552.4,8.3," 6,917,306 ",61%,39%,,8.5,,,,Not Available,"2014, 2015, 2016",16082044.9519
115 – West Roxbury,Yes,Supermarket/Grocery Store,1800 Centre St,02481," 55,929 ",275.9,71,,"Parking, Supermarket/Grocery",2002,1293.0,23.1," 15,431,170 ",70%,30%,,3758.9,,"Water consumption was estimated for October and November. In the original invoices from Boston Water and Sewer Commission, October's consumption was 28,896 cubic feet and November's consumption was -990 cubic feet. We reached out to the BWSC and they mentioned this was done as a true up to make the annual figures correctly. Since PM does not accept negative values, we adjusted October's consumption to 27,906 cf and November's consumption to be 0 cubic feet. ",,2005752010,2016,38778528.9535
115 Broad Street,Yes,Office,115 Broad Street,02110," 56,025 ",48.9,79,,Office,1900,264.7,4.7," 2,738,580 ",100%,0%,,7.0,,,,Not Available,2016,8599140.5720
116 Huntington,Yes,Office,116 Huntington Ave,02116," 287,141 ",59.8,83,"2015, 2010","Office, Parking, Restaurant",1990,1662.4,5.8," 17,183,562 ",100%,,,11.7,,,,0401013010,"2015, 2016",53956385.3080
119,Yes,Office,119 Braintree Street,02134," 140,974 ",36.4,99,,"Office, Parking",1908,402.2,2.9," 5,137,152 ",58%,42%,,5.2,,"Property use is office and artist studio.
Parking gross floor area is estimated.",,2201867000,2016,11621264.1233
"12 Commonwealth Avenue, Boston, MA",Yes,Multifamily Housing,12 Commonwealth Avenue,02116," 42,860 ",86.6,84,,Multifamily Housing,1920,286.9,6.7," 3,710,840 ",14%,,,35.5,,,,Not Available,"2015, 2016",1631285.2640
120 Ashford Street,Yes,Distribution Center,120 Ashford Street,02215,65198,155.2,4,,"Distribution Center, Office, Parking",1958,660.3,10.1,10119448.4,28%,72%,,5.6,,,,2100414000,"2014, 2015, 2016",16547322.0237
120 Herald Street,Yes,Other,120 Herald Street,02116," 115,680 ",1.9,Not Available,,"Other, Parking",1967,20.8,0.2," 214,858 ",100%,,,,,this is a parking structure only.  There is no building associated. No water meter.,,0500515000,"2014, 2015, 2016",674654.1200
1230 Washington St,Yes,Manufacturing/Industrial Plant,1234 Washington St,02118," 60,990 ",34.1,Not Available,,Manufacturing/Industrial,1926,122.8,2.0," 2,080,563 ",14%,86%,,8.1,,,,0306443000,"2014, 2015, 2016",2793363.2125
1249 Boylston Street,Yes,Office,1249 Boylston Street,02115," 37,495 ",92,Not Available,,"Office, Retail Store",1950,293.2,7.8," 3,448,525 ",73%,27%,,4.5,,,,Not Available,2016,8882366.3576
125 Magazine St,Municipal,Office,125 Magazine St,02119,8100,92.5,63,,Office,2000,47.1,5.8,749252.8,22%,78%,,,,,,Not Available,2016,#VALUE!
125 Summer Street,Yes,Office,125 Summer Street,02110," 521,903 ",65.6,74,"2015, 2014, 2013, 2012, 2011","Office, Parking",1989,3311.0,6.3," 34,224,063 ",100%,,,9.1,,"This property represents a single building only.  All energy data have been entered correctly up to 1/31/2011.

The building is currently seeking LEED EB Certification:
Project Name = 125 Summer Street
Project ID = 1000063066",,0304256000,"2014, 2015, 2016",107463559.0760
1255 Boylston Street,Yes,Retail Store,1255 Boylston Street,02215," 32,835 ",67.2,45,,"Office, Retail Store",1950,213.6,6.5," 2,208,054 ",100%,,,2.4,,,,Not Available,2016,6933287.9900
126 Brookline Ave,Yes,Retail Store,126 Brookline Ave,02215," 61,406 ",260.1,1,,"Office, Retail Store",1920,1155.5,18.8," 15,972,862 ",44%,56%,,83.9,,,,Not Available,2016,31460149.5861
126 Newbury St,Yes,Retail Store,126 Newbury St,02116,49896,14.2,99,,Retail Store,1960,68.6,1.4,709154.4,100%,,,10.9,,,,Not Available,2016,2226744.8160
1260 Boylston Street,Yes,Mixed Use Property,1252-1268 Boylston Street,02215," 60,000 ",Not Available,Not Available,,"Office, Other, Restaurant, Retail Store",1965,Not Available,0.0, Not Available ,,,,,,,,Not Available,"2014, 2015, 2016",#VALUE!
1295 Boylston - Ste# 535088,Yes,Office,1295 BOYLSTON ST,02215," 130,751 ",177.2,12,,"Office, Parking, Retail Store",1990,1964.8,15.0," 23,166,941 ",73%,27%,,9.9,,Property Management received from national grid and NStar the gas use for the missing tenants and whole building electric uses.,,0504210010,"2014, 2015, 2016",59671090.1913
131 Dartmouth Street,Yes,Office,131 Dartmouth Street,02116," 371,000 ",46.4,95,,"Office, Parking",2003,1666.9,4.5," 17,229,967 ",100%,,,30.1,,Total bldg. consumption received from NSTAR. Water meters have abatement meters for irrigation and cooling tower. Square footage for Building and garage are best estimates.,,00574000 00572000,"2014, 2016",54102095.4380
"1330 Boylston Street Properties, LLC",Yes,Multifamily Housing,1330 Boylston Street,02215," 361,502 ",59.8,Not Available,,"Multifamily Housing, Office, Parking, Retail Store",2008,1649.4,4.6," 21,610,361 ",53%,47%,,38.2,,Parcel ID 0504314014,,0504314014,"2015, 2016",46628676.1455
136 Mass Ave,Yes,College/University,150 Mass Ave,02215," 36,500 ",18.4,Not Available,,College/University,1900,64.8,1.8," 670,297 ",100%,,,,,,,Not Available,2016,2104733.8360
137 Englewood Avenue,Yes,Multifamily Housing,137 Englewood Avenue,02135," 56,239 ",42.4,100,,Multifamily Housing,1935,161.0,2.9," 2,381,794 ",33%,67%,,39.5,,,,2102331000,"2015, 2016",4143607.7177
137 Newbury Street,Yes,Office,137 Newbury St.,02116," 51,150 ",81.8,60,,Office,1929,337.6,6.6," 4,186,223 ",63%,37%,,15.4,,,,0501339000,"2014, 2015, 2016",9907533.9741
1380 Soldiers Field Rd,Yes,Office,1380 Soldiers Field Rd,02134," 76,962 ",107.4,51,,"Medical Office, Office, Parking",1990,643.8,8.4," 8,268,281 ",57%,43%,,7.8,,,,2200578000,"2014, 2015, 2016",18531698.6536
140 Bay State Road,Yes,Residence Hall/Dormitory,140 Bay State Road,02215,128887,105,55,,Residence Hall/Dormitory,1958,850.2,6.6,13527479.9,22%,78%,,50.0,,,,0504003000,"2014, 2015, 2016",20423789.1530
140 Clarendon,Yes,Mixed Use Property,140 Clarendon Street,02116," 146,533 ",119.7,Not Available,,"Barracks, Fast Food Restaurant, Hotel, K-12 School, Office, Other, Other - Lodging/Residential, Other - Services, Performing Arts, Self-Storage Facility, Social/Meeting Hall",1930,1442.3,9.8,"17,534,313.1",52%,,48%,40.1,,Property Gross Floor Area value is taken from Boston Tax Assessor Database Records. All property use gross floor area values are taken from Building Occupancy Plans.,,0401085000,"2014, 2015, 2016",38729790.7753
140 Humboldt,Yes,Multifamily Housing,140 Humboldt Ave,02121," 44,352 ",44.1,91,,Multifamily Housing,1988,142.4,3.2," 1,957,288 ",45%,55%,,43.2,,,,1202025000,"2015, 2016",3895981.5650
140 The Fenway,Yes,College/University,140 The Fenway,02115," 148,145 ",192.4,Not Available,,College/University,1912,2139.7,14.4," 28,502,539 ",50%,50%,,17.6,,,,Not Available,"2014, 2015, 2016",59712818.5765
141 tremont street,Yes,Office,141 tremont street,02111," 64,884 ",87.1,36,,Office,1969,546.4,8.4," 5,648,279 ",100%,0%,,13.4,,,,0304800000,"2014, 2015, 2016",17735595.7460
142 Berkeley Street,Yes,Office,140-144 Berkeley Street,02116,120000,106,88,,"Office, Personal Services, Restaurant, Retail Store",1890,1031.3,8.6,12726001.7,30%,,,17.8,,,,0401146000,2016,11987893.6014
145 Newton Street,Yes,Manufacturing/Industrial Plant,145 Newton Street,02135," 110,510 ",46.3,Not Available,,Manufacturing/Industrial,1965,494.8,4.5," 5,114,723 ",100%,,,1.1,,,,03428-000,"2014, 2015, 2016",16060230.5340
"1459 Realty Ventures, LLC",Yes,Multifamily Housing,1459-1461 VFW Parkway,02132," 90,390 ",85.7,59,,"Multifamily Housing, Parking",1968,453.1,5.0," 7,747,559 ",12%,88%,,51.9,,Unsure of area for parking use,,2010637001,"2015, 2016",10078025.2675
148 State Street,Yes,Office,148 State Street,02109," 64,233 ",77.5,80,,"Office, Restaurant",1899,356.4,5.5," 4,979,531 ",42%,58%,,13.5,,,,0303751000,"2014, 2015, 2016",9599539.2835
15 Broad st,Yes,Office,15 Broad St,02109," 73,561 ",86.4,81,,Office,1910,433.2,5.9," 6,357,428 ",34%,66%,,9.5,,,,0303836000,"2014, 2015, 2016",11192887.3847
15 Elkins,Yes,Office,15 Elkins Street,02127," 36,000 ",118.9,23,,Office,1900,334.4,9.3," 4,280,480 ",57%,43%,,7.4,,,,0603405060,"2014, 2015, 2016",9593840.2723
15 Guest Street,Yes,Parking,15 Guest Street,02135," 115,551 ",78.9,Not Available,,"Office, Parking",2001,882.1,7.6," 9,118,229 ",100%,,,1.9,,,,01907-002,"2014, 2015, 2016",28631239.6880
15 St. Mary's Street (736-754 Commonwealth Ave),Yes,Laboratory,15 St. Mary's Street (736-754 Commonwealth Ave),02215,45985,178.4,Not Available,,"Laboratory, Parking",1990,789.7,17.2,8205238.8,99%,1%,,72.1,,,,Not Available,2016,25592960.3411
150 Mass Ave,Yes,College/University,150 Mass Ave,02215," 216,000 ",112.5,Not Available,,College/University,1900,1788.4,8.3," 24,300,143 ",47%,53%,,35.2,,,,Not Available,"2014, 2016",49385180.2124
150 Tremont St,Yes,Residence Hall/Dormitory,150 Tremont,02111," 147,336 ",71.7,53,,Residence Hall/Dormitory,1908,907.8,6.2," 10,568,865 ",69%,10%,21%,35.1,,,,Not Available,"2014, 2016",26671588.2187
151 Merrimac Street,Yes,Office,151 Merrimac Street,02114," 42,476 ",31.6,Not Available,,Office,1887,115.3,2.7," 1,341,467 ",75%,25%,,6.8,,,,0301680000,2016,3511289.0873
151 W-BrookeLine St,Yes,Not Available,151 W-BrookeLine St,02118, Not Available ,Not Available,Not Available,,,1900,15.5,Not Available," 159,832 ",100%,,,,,,,Not Available,2016,501871.5380
16 Westland Avenue,Yes,Multifamily Housing,16 Westland Ave,02115," 30,702 ",84.8,Not Available,,Multifamily Housing,1910,157.0,5.1," 2,604,253 ",16%,84%,,58.3,,,,0401521000,"2015, 2016",3605327.2994
