Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),Tax Parcel,Years Reported, Total Source Energy (kBTU) ,Source EUI (kBTU/sf)
125 Summer Street,Yes,Office,125 Summer Street,2110,521903,65.6,74,,Office Parking,1989,3311,6.3,34224063,1,,,9.1,,304256000,2014 2015 2016,107463557.8,205.9071472
1255 Boylston Street,Yes,Retail Store,1255 Boylston Street,2215,32835,67.2,45,,Office Retail Store,1950,213.6,6.5,2208054,1,,,2.4,,Not Available,2016,6933289.56,211.1554609
126 Brookline Ave,Yes,Retail Store,126 Brookline Ave,2215,61406,260.1,1,,Office Retail Store,1920,1155.5,18.8,15972862,0.44,0.56,,83.9,,Not Available,2016,31460149,512.330212
126 Newbury St,Yes,Retail Store,126 Newbury St,2116,49896,14.2,99,,Retail Store,1960,68.6,1.4,709154,1,,,10.9,,Not Available,2016,2226744.816,44.62772198
1260 Boylston Street,Yes,Mixed Use Property,1252-1268 Boylston Street,2215,60000,Not Available,Not Available,,Office Other Restaurant Retail Store,1965,Not Available,0,Not Available,,,,,,Not Available,2014 2015 2016,#VALUE!,#VALUE!
1295 Boylston - Ste# 535088,Yes,Office,1295 BOYLSTON ST,2215,130751,177.2,12,,Office Parking Retail Store,1990,1964.8,15,23166941,0.73,0.27,,9.9,,504210010,2014 2015 2016,59671089.93,456.3719584
131 Dartmouth Street,Yes,Office,131 Dartmouth Street,2116,371000,46.4,95,,Office Parking,2003,1666.9,4.5,17229967,1,,,30.1,,00574000 00572000,2014 2016,54102096.38,145.827753
"1330 Boylston Street Properties, LLC",Yes,Multifamily Housing,1330 Boylston Street,2215,361502,59.8,Not Available,,Multifamily Housing Office Parking Retail Store,2008,1649.4,4.6,21610361,0.53,0.47,,38.2,,504314014,2015 2016,46628675.93,128.9859418
136 Mass Ave,Yes,College/University,150 Mass Ave,2215,36500,18.4,Not Available,,College/University,1900,64.8,1.8,670297,1,,,,,Not Available,2016,2104732.58,57.6639063
137 Englewood Avenue,Yes,Multifamily Housing,137 Englewood Avenue,2135,56239,42.4,100,,Multifamily Housing,1935,161,2.9,2381794,0.33,0.67,,39.5,,2102331000,2015 2016,4143607.022,73.67853308
137 Newbury Street,Yes,Office,137 Newbury St.,2116,51150,81.8,60,,Office,1929,337.6,6.6,4186223,0.63,0.37,,15.4,,501339000,2014 2015 2016,9907533.974,193.6956789
1380 Soldiers Field Rd,Yes,Office,1380 Soldiers Field Rd,2134,76962,107.4,51,,Medical Office Office Parking,1990,643.8,8.4,8268281,0.57,0.43,,7.8,,2200578000,2014 2015 2016,18531698.21,240.7902368
140 Bay State Road,Yes,Residence Hall/Dormitory,140 Bay State Road,2215,128887,105,55,,Residence Hall/Dormitory,1958,850.2,6.6,13527480,0.22,0.78,,50,,504003000,2014 2015 2016,20423789.15,158.4627554
140 Clarendon,Yes,Mixed Use Property,140 Clarendon Street,2116,146533,119.7,Not Available,,Barracks Fast Food Restaurant Hotel K-12 School Office Other Other - Lodging/Residential Other - Services Performing Arts Self-Storage Facility Social/Meeting Hall,1930,1442.3,9.8,17534313,0.52,,0.48,40.1,,401085000,2014 2015 2016,38729790.78,264.3076357
140 Humboldt,Yes,Multifamily Housing,140 Humboldt Ave,2121,44352,44.1,91,,Multifamily Housing,1988,142.4,3.2,1957288,0.45,0.55,,43.2,,1202025000,2015 2016,3895981.764,87.84230168
140 The Fenway,Yes,College/University,140 The Fenway,2115,148145,192.4,Not Available,,College/University,1912,2139.7,14.4,28502539,0.5,0.5,,17.6,,Not Available,2014 2015 2016,59712819.21,403.0700949
141 tremont street,Yes,Office,141 tremont street,2111,64884,87.1,36,,Office,1969,546.4,8.4,5648279,1,0,,13.4,,304800000,2014 2015 2016,17735596.06,273.3431364
142 Berkeley Street,Yes,Office,140-144 Berkeley Street,2116,120000,106,88,,Office Personal Services Restaurant Retail Store,1890,1031.3,8.6,12726002,0.3,,,17.8,,401146000,2016,11987893.6,99.89911335
145 Newton Street,Yes,Manufacturing/Industrial Plant,145 Newton Street,2135,110510,46.3,Not Available,,Manufacturing/Industrial,1965,494.8,4.5,5114723,1,,,1.1,,03428-000,2014 2015 2016,16060230.22,145.3282981
"1459 Realty Ventures, LLC",Yes,Multifamily Housing,1459-1461 VFW Parkway,2132,90390,85.7,59,,Multifamily Housing Parking,1968,453.1,5,7747559,0.12,0.88,,51.9,,2010637001,2015 2016,10078024.75,111.4949081
148 State Street,Yes,Office,148 State Street,2109,64233,77.5,80,,Office Restaurant,1899,356.4,5.5,4979531,0.42,0.58,,13.5,,303751000,2014 2015 2016,9599539.862,149.4487236
15 Broad st,Yes,Office,15 Broad St,2109,73561,86.4,81,,Office,1910,433.2,5.9,6357428,0.34,0.66,,9.5,,303836000,2014 2015 2016,11192887.74,152.1579062
15 Elkins,Yes,Office,15 Elkins Street,2127,36000,118.9,23,,Office,1900,334.4,9.3,4280480,0.57,0.43,,7.4,,603405060,2014 2015 2016,9593839.824,266.4955507
15 Guest Street,Yes,Parking,15 Guest Street,2135,115551,78.9,Not Available,,Office Parking,2001,882.1,7.6,9118229,1,,,1.9,,01907-002,2014 2015 2016,28631239.06,247.7801063
15 St. Mary's Street (736-754 Commonwealth Ave),Yes,Laboratory,15 St. Mary's Street (736-754 Commonwealth Ave),2215,45985,178.4,Not Available,,Laboratory Parking,1990,789.7,17.2,8205239,0.99,0.01,,72.1,,Not Available,2016,25592960.34,556.5501868
150 Mass Ave,Yes,College/University,150 Mass Ave,2215,216000,112.5,Not Available,,College/University,1900,1788.4,8.3,24300143,0.47,0.53,,35.2,,Not Available,2014 2016,49385180.62,228.6350955
150 Tremont St,Yes,Residence Hall/Dormitory,150 Tremont,2111,147336,71.7,53,,Residence Hall/Dormitory,1908,907.8,6.2,10568865,0.69,0.1,0.21,35.1,,Not Available,2014 2016,26671587.71,181.0255994
151 Merrimac Street,Yes,Office,151 Merrimac Street,2114,42476,31.6,Not Available,,Office,1887,115.3,2.7,1341467,0.75,0.25,,6.8,,301680000,2016,3511289.873,82.6652668
151 W-BrookeLine St,Yes,Not Available,151 W-BrookeLine St,2118,Not Available,Not Available,Not Available,,,1900,15.5,Not Available,159832,1,,,,,Not Available,2016,501872.48,#VALUE!
16 Westland Avenue,Yes,Multifamily Housing,16 Westland Ave,2115,30702,84.8,Not Available,,Multifamily Housing,1910,157,5.1,2604253,0.16,0.84,,58.3,,401521000,2015 2016,3605327.853,117.4297392
160 Mass Ave,Yes,Residence Hall/Dormitory,160 Mass Ave,2215,176000,157.8,17,,Residence Hall/Dormitory,2013,1902.8,10.8,27775831,0.35,0.65,,41.7,,Not Available,2014 2015 2016,49482642.93,281.1513803
162 Boylston St,Yes,Office,162 Boylston Street,2116,52191,40.2,Not Available,,Office Retail Store,1899,166.7,3.2,2100510,0.23,,,4.2,,500027000,2016,1516988.322,29.06609036
166 St-Botolph St,Yes,Not Available,166 St-Botolph St,2118,Not Available,Not Available,Not Available,,,1900,3.4,Not Available,35379,1,,,,,Not Available,2016,111090.06,#VALUE!
1661 Washington St,Yes,Not Available,1661 Washington St,2118,Not Available,Not Available,Not Available,,,1900,148.1,Not Available,1531009,1,,,,,Not Available,2016,4807368.26,#VALUE!
170 Parkside Condominium Trust,Yes,Multifamily Housing,170 Tremont St ,2111,96696,78.3,38,,Multifamily Housing Parking,1985,553.7,5.7,7566995,0.46,0.54,,38.8,,304842000,2015 2016,15220253.34,157.4031329
170 Shawmut Ave,Yes,Manufacturing/Industrial Plant,170 Shawmut Avenue,2118,52224,40.8,Not Available,,Manufacturing/Industrial,1960,126.2,2.4,2132348,0.14,0.86,,2.3,,30616000,2014 2015 2016,2862890.425,54.81943981
172-The Boxer (Bulfinch) Hotel,Yes,Hotel,107 Merrimac Street,2114,47420,118.5,56,,Hotel,2005,383.9,8.1,5618625,0.35,0.65,,83.3,,Not Available,2015 2016,10009580.44,211.0835183
175 Berkeley St. (0001),Yes,Office,175 Berkeley St.,2116,522349,76.5,86,,Office Parking Restaurant,1958,3221.2,6.2,39935713,0.63,0.37,,9.5,,0501153000 0501155000,2014 2015 2016,94515851.96,180.9438746
175 Federal Street,Yes,Office,175 Federal Street`,2110,227365,61,81,,Office,1977,1341.2,5.9,13863090,1,,,10,,304231000,2014 2015 2016,43530102.6,191.4547208
175 McClellan HWY,Yes,Mixed Use Property,144 Addison St,2128,405215,37.5,Not Available,,Manufacturing/Industrial Non-Refrigerated Warehouse Office Other Parking Worship Facility,1910,1085.9,2.7,15211693,0.42,0.58,,5.6,,00548-100,2014 2015 2016,29325101.77,72.36924044
175 North Harvard Street Building,Yes,Parking,175 North Harvard Street,2134,39709,101.7,Not Available,,Parking,2006,260.9,6.6,4037968,0.26,0.74,,,,2200534000,2016,6434098.211,162.0312325
176 Federal Street,Yes,Office,176 Federal Street,2110,76323,103.8,Not Available,,Office Restaurant Retail Store,1900,766.5,10,7923258,1,,,16,,304379000,2015 2016,24879030.12,325.9702858
176 Lincoln St,Yes,Office,176 Lincoln St,2135,450000,0.1,100,,Office,2002,3,0,30712,1,,,,,2200969000,2014 2015 2016,96435.68,0.214301511
177 Huntington Ave.,Yes,Office,177 Huntington Ave.,2115,247733,140.9,45,,Office,1972,2648.1,10.7,34910136,0.32,,0.67,27.9,,401150010,2014 2015 2016,63145454,254.8931874
177 Longwood Ave Dorms-collegeUniversity,Yes,College/University,177 Longwood Ave Dorms,2115,95631,60.1,Not Available,,College/University,1995,556.1,5.8,5748229,1,,,25.4,,401844000,2014 2015 2016,18049439.06,188.7404614
178-179 Tremont Street,Yes,Office,178-179 Tremont Street,2111,50600,124.4,50,,Office,1916,484.8,9.6,6294572,0.55,0.45,,20.3,,304884000,2014 2015 2016,13844911.11,273.6148442
179 Lincoln Street,Yes,Office,179 Lincoln Street,2111,236461,63.2,90,,Office Parking,1899,1327.9,5.6,14940712,0.82,0.18,,7.4,,05332-000,2014 2015 2016,41293140.65,174.6298149
179 Longwood Ave-collegeUniversity,Yes,College/University,179 Longwood Ave,2115,347844,114.8,Not Available,,College/University,1995,2277.3,6.5,39938197,0.09,0.91,,21.4,,401844000,2014 2015 2016,49447481.71,142.154189
180 beacon condominium trust,Yes,Multifamily Housing,180 beacon street,2116,180000,Not Available,Not Available,,Multifamily Housing Parking,1968,Not Available,Not Available,Not Available,,,,,,Not Available,2014 2015 2016,#VALUE!,#VALUE!
180 Longwood,Yes,Other,180 Longwood,2115,61540,146.9,Not Available,,Other,1920,672.6,10.9,9037500,0.32,,0.54,6.8,,401872000,2014 2015 2016,14937180,242.7231069
