Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),PARCEL_ID,Years Reported,Total Source Energy (kBTU),Source EUI (kBTU/sf),2030 Target by Type,Distance to 2030 Target %,Distance to 2030 Target val,Specific Property Type,,,
07572-Brighton Mills,Yes,Service,370 Western Ave,02135,58240,219.8,59,,Supermarket/Grocery,1999,1086,18.6,12801950,0.73,0.27,,19.8,,Not Available,2014 2015 2016,32973982.62,566.174152,101.6,0.82055,464.574152,Supermarket/Grocery Store,,,
07576-Fenway,Yes,Service,33 Kilarnock Street,02215,28913,413,6,,Supermarket/Grocery,1999,917,31.7,11939855,0.54,0.46,,95.1,,Not Available,2016,26012168.1,899.6703249,101.6,0.88707,798.070325,Supermarket/Grocery Store,,,
07577-West Roxbury,Yes,Service,75 Spring Street,02132,54846,287.8,37,,Supermarket/Grocery,1999,1251.5,22.8,15783568,0.6,0.4,,14.6,,Not Available,2014 2015 2016,36365340.67,663.0445369,101.6,0.846767,561.444537,Supermarket/Grocery Store,,,
07579-Hyde Park,Yes,Service,1377 Hyde Park Avenue,02136,53642,274.8,52,,Supermarket/Grocery,1999,1148.9,21.4,14740566,0.57,0.43,,7.6,,Not Available,2014 2016,33038029.46,615.8985395,101.6,0.835038,514.298539,Supermarket/Grocery Store,,,
07587-Morrisey Blvd,Yes,Service,45 Morrissey Blvd,02124,61555,247.1,37,,Supermarket/Grocery,1999,1290.4,21,15209358,0.73,0.27,,28.1,,Not Available,2014 2015 2016,39174742.37,636.418526,101.6,0.840357,534.818526,Supermarket/Grocery Store,,,
07588-Allston,Yes,Service,1065 Commonwealth Ave,02215,64485,299.6,27,,Supermarket/Grocery,1999,1632.3,25.3,19318937,0.72,0.28,,16.8,,2100475000,2014 2015 2016,49356020.5,765.3876173,101.6,0.867257,663.787617,Supermarket/Grocery Store,,,
07602-Prudential New,Yes,Service,53 Huntington Ave,02199,59527,295.1,37,,Supermarket/Grocery,2003,1426.9,24,17566980,0.64,0.36,,0,,0401037400,2014 2015 2016,41942920.25,704.6032935,25.4,0.963951,679.203294,Supermarket/Grocery Store,,,
07604-Dorchester Burger,Yes,Service,4 River Street,02122,44191,289.7,19,,Supermarket/Grocery,2003,1078.7,24.4,12803888,0.71,0.29,,20.9,,Not Available,2016,32443772.82,734.1715014,25.4,0.965403,708.771501,Supermarket/Grocery Store,,,
1 Guest,Yes,Education,1 Guest St,02135,126300,87.1,Not Available,,Other - Education,2007,1064.5,8.4,11002881,1,,,,,Not Available,2014 2015 2016,34549046.34,273.547477,25.4,0.907146,248.147477,Other - Education,,,
1 Milk,Yes,Office,1 Milk Street,02109,44464,Not Available,Not Available,,Office,1899,Not Available,Not Available,Not Available,,,,6,,0304637010,2016,#VALUE!,#VALUE!,,0,248.147477,Office,,,
1 Palace Rd-collegeUniversity,Yes,Education,1 Palace Rd,02115,110327,30.7,Not Available,,College/University,1995,327.4,3,3383927,1,,,,,0401844000,2014 2015 2016,10625530.78,96.30943269,195.2,0,-98.890567,College/University,,,
10 Buick Street,Yes,Residential,10 Buick Street,02215,384971,51.9,84,,Residence Hall/Dormitory,2000,1380.4,3.6,19979592,0.36,0.63,,49.1,,2100401000,2014 2015 2016,35801430.9,92.99773465,101.6,0,-8.602265,Residence Hall/Dormitory,,,
10 Coventry Street,Yes,Education,10 Coventry Street,02115,69739,43.9,Not Available,,College/University,2004,235.4,3.4,3059362,0.55,0.45,,26.5,,Not Available,2014 2015 2016,6729066.719,96.48929177,48.8,0.494244,47.689292,College/University,,,
10 Guest St,Yes,Education,10 Guest St,02135,199600,29.9,Not Available,,Other - Education,2000,576.9,2.9,5963221,1,,,,,Not Available,2014 2015 2016,18724512.68,93.81018379,195.2,0,-101.389816,Other - Education,,,
10 Milk Street,Yes,Office,10 Milk Street,02210,225294,60.1,89,,Fast Food Restaurant Office,1903,1186.3,5.3,13539178,0.7,,0.3,9.8,,0303907000,2014 2015 2016,34633217.32,153.7245436,101.6,0.339078,52.124544,Office,,,
10 PO Square,Yes,Office,10 Post Office Square,02109,405797,46.3,90,,Office,1920,1751.9,4.3,18793122,0.92,0.08,,10.3,,0303879000  0303880000 0303878000  0303878010 ,2014 2015 2016,55868193.08,137.6752245,,0,52.124544,Office,,,
10 St. James Ave.,Yes,Office,10 St. James Avenue,02116,567714,69,78,,Financial Office Office Other Parking,2001,3791.1,6.7,39186307,1,,,11.3,,0501152000,2014 2015 2016,123045004,216.7376601,101.6,0.531231,115.13766,Office,,,
10 Tremont Street,Yes,Office,10 Tremont Street,02108,38000,38.7,100,,Office,1900,108.2,2.8,1472288,,,,14.3,,Not Available,2016,0,0,,0,115.13766,Office,,,
10/20 Channel Center,Yes,Office,10 Channel Center Street,02210,248760,60.5,83,,Office,1920,1457,5.9,15059804,1,,,18.2,,0602757030 0602757045,2014 2015 2016,47287784.56,190.0940045,101.6,0.465528,88.494005,Office,,,
100 Arlington,Yes,Residential,100 Arlington Street,02116,203204,67.6,14,,Food Sales Multifamily Housing,1926,1087.5,5.4,13740303,0.53,0.25,0.22,18.5,,0500805000,2015 2016,30100881.78,148.1313448,101.6,0.314122,46.531345,Multifamily Housing,,,
100 Ashford Street,Yes,Public Assembly,100 Ashford Street,02215,96292,97.7,Not Available,,Other - Stadium,2002,660.8,6.9,9407114,0.39,0.61,,3.6,,Not Available,2014 2015 2016,17545208.69,182.2083734,25.4,0.860599,156.808373,Other - Stadium,,,
100 Bay State Road,Yes,Office,100 Bay State Road,02215,123678,177.5,Not Available,,Food Service Office,2012,1623.7,13.1,21958186,0.48,0.52,,44,,Not Available,2014 2015 2016,45084547.7,364.5316685,25.4,0.930322,339.131669,Office,,,
100 Bay State Road,Yes,Service,100 Bay State Road,02215,109614,27.5,Not Available,,Office Restaurant,2012,291.1,2.7,3009450,1,,,,,Not Available,2014 2015 2016,9449673,86.20863211,86.8,0,-0.591368,Restaurant,,,
100 Clarendon Street Garage,Yes,Other,100 Clarendon Street,02116,843168,20.7,Not Available,,Bank Branch Medical Office Office Other,1969,1645.3,2,17457097,0.94,0.06,0,1.2,,0401082001,2014 2015 2016,52626164.62,62.414803,101.6,0,-39.185197,Other,,,
100 East Newton Street (635 Albany) G Building,Yes,Office,100 East Newton Street,02118,89406,307.1,1,,Medical Office,1969,2179.5,24.4,27457921,0.43,0,0.57,43.4,,0801295000,2014 2015 2016,55854903.31,624.7332763,101.6,0.837371,523.133276,Medical Office,,,
100 Federal St.,Yes,Office,100 Federal St.,02110,1478145,81.9,81,,Data Center Office Parking,1970,10065.5,6.8,120988965,0.55,,0.45,11.2,,0304410000,2014 2015 2016,274281983.7,185.5582393,101.6,0.452463,83.958239,Office,,,
100 franklin st,Yes,Office,100 franklin st,02110,94438,87.2,60,,Bank Branch Office,1908,698.5,7.4,8239101,0.73,0.27,,11.4,,0304666000,2014 2015 2016,21221452.45,224.7130651,101.6,0.547868,123.113065,Office,,,
100 High Street,Yes,Unknown,100 High Street,02110,Not Available,Not Available,Not Available,,Office Parking,1988,3383,Not Available,34968493,1,,,,,0304408000,2014 2016,109801068,#VALUE!,,0,123.113065,Not Available,,,
100 Holton St,Yes,Office,100 Holton St,02135,115577,19.4,100,,Office,1975,122,1.1,2240884,0.03,0.97,,7.5,,2200966000,2014 2015 2016,2493431.627,21.5737701,101.6,0,-80.02623,Office,,,
100 Meadow Road LLC,Yes,Warehouse and Storage,100-170 Meadow Road ,02136,198836,Not Available,Not Available,,Non-Refrigerated Warehouse,1958,Not Available,Not Available,Not Available,,,,0.2,,Not Available,2016,#VALUE!,#VALUE!,,0,-80.02623,Non-Refrigerated Warehouse,,,
100 N Washington Street,Yes,Office,100 North Washington Street,02114,52973,39,89,,Office Parking,1897,199.7,3.8,2064397,1,,,8,,Not Available,2014 2015 2016,6482206.58,122.368123,101.6,0.169718,20.768123,Office,,,
100 Summer Street,Yes,Office,100 Summer Street,02110,1164826,78.3,75,,Fast Food Restaurant Office Other Parking,1974,7732.9,6.6,91216783,0.61,,0.39,9.7,,0304220000,2014 2015 2016,217406080.6,186.6425377,101.6,0.455644,85.042538,Office,,,
101 Dale St,Yes,Residential,101 Dale St,02119,10532,193.4,Not Available,,Multifamily Housing Other - Education,1900,114.2,10.8,2036618,0.07,0.93,,144.4,,1200641000,2016,2436406.113,231.3336606,101.6,0.560808,129.733661,Multifamily Housing,,,
101 Huntington Ave,Yes,Office,101 Huntington Ave,02199,585345,75.3,87,,Office Parking,1972,3545.9,6.1,44068989,0.5,,0.49,9.5,,0401037101,2014 2015 2016,95100877.83,162.4697876,101.6,0.374653,60.869788,Office,,,
101 Merrimac Street,Yes,Office,101 Merrimac Street,02114,153905,72.6,75,,Office Parking,1990,1010.9,6.6,11174815,0.86,0.14,,18.6,,Not Available,2014 2015 2016,31819168.23,206.7455133,101.6,0.508575,105.145513,Office,,,
101 Summer,Yes,Office,101 Summer St.,02110,48905,92.1,50,,Fast Food Restaurant Office,1899,376,7.7,4502210,0.7,0.3,,23,,0304577000,2014 2015 2016,11314053.73,231.3475867,101.6,0.560834,129.747587,Office,,,
101 Tremont,Yes,Office,101 Tremont Street,02108,80344,41.5,Not Available,,Office,1901,263.6,3.3,3331546,0.6,0.4,,30.7,,0304717000,2015 2016,7675881.984,95.53771264,101.6,0,-6.062287,Office,,,
1010 Massachusetts Ave,Municipal,Office,1010 Massachusetts Ave,02118,195000,59.9,86,,Other,2000,995.7,5.1,11676350,0.74,0.26,,1.6,,Not Available,2016,30318810.15,155.4810777,101.6,0.346544,53.881078,Office,,,
10-18 Buswell Street,Yes,Residential,10-18 Buswell Street,02215,66456,226.9,1,,Multifamily Housing,1924,834.6,12.6,15081781,0.05,0.95,,73.5,,2100201000,2014 2015 2016,17411916.28,262.0066853,101.6,0.612224,160.406685,Multifamily Housing,,,
1019 Commonwealth Avenue,Yes,Residential,1019 Commonwealth Avenue,02215,77750,67.9,75,,Residence Hall/Dormitory,1977,384.1,4.9,5281805,0.45,0.55,,31.6,,2100468000,2014 2015 2016,10513432.45,135.2209962,101.6,0.248637,33.620996,Residence Hall/Dormitory,,,
10-24 School Street,Yes,Office,10-24 School Street,02108,115413,94.3,81,,Office Retail Store,1925,900.2,7.8,10887252,0.54,,0.46,12.3,,Not Available,2015 2016,24470187.6,212.0228015,101.6,0.520806,110.422802,Office,,,
103 CLAYTON STREET,Yes,Office,103 CLAYTON STREET,02122,40696,42.1,97,,Office,1912,123.5,3,1711550,0.44,0.56,,3.5,,1600579000,2016,3371069.077,82.83539112,101.6,0,-18.764609,Office,,,
105 Magazine St,Municipal,Other,105 Magazine St,02119,5150,173.3,Not Available,,Other,2000,49.4,9.6,892596,0.05,0.95,,,,Not Available,2016,1030501.62,200.097402,101.6,0.492247,98.497402,Other,,,
10-50 Old Colony Ave.,Yes,Office,10-50 Old Colony Ave.,02127,75000,Not Available,Not Available,,Office,1924,Not Available,Not Available,Not Available,,,,4,,0600324000,2014 2016,#VALUE!,#VALUE!,,0,98.497402,Office,,,
105-129 Kingston Street,Yes,Office,2 24 Edinboro Street,02111,75500,74.7,Not Available,,Office Retail Store,1910,433,5.7,5642996,0.34,0,0.66,9.9,,0304421000,2014 2015 2016,10493715.36,138.9896074,101.6,0.26901,37.389607,Office,,,
109 Brookline Ave. - Ste # 602030,Yes,Office,109 BROOKLINE AVE,02215,305362,278.9,4,,Office Parking,1990,7737.7,25.3,85153993,0.87,0.13,,13.9,,2100071000,2014 2015 2016,244247198.1,799.8611423,101.6,0.872978,698.261142,Office,,,
1098-Jamaica Plain,Yes,Warehouse and Storage,3175 Washington Street,02130,71057,35.2,5,,Non-Refrigerated Warehouse,2009,220.6,3.1,2500433,0.8,0.2,,0.3,,1102009000,2014 2015 2016,6806178.626,95.78477315,25.4,0.734822,70.384773,Non-Refrigerated Warehouse,,,
11 Beacon,Yes,Office,11 Beacon Street,02110,146388,78.9,92,,Office Other - Restaurant/Bar,1911,762.4,5.2,11554137,0.3,0.7,,9.8,,0302804000,2014 2015 2016,19376287.75,132.3625417,101.6,0.232411,30.762542,Office,,,
11 Elkins,Yes,Office,11 Elkins Street,02127,55000,24,99,,Office,1900,123.4,2.2,1319888,0.93,0.07,,4.6,,0603405060,2014 2015 2016,3951348.706,71.84270374,101.6,0,-29.757296,Office,,,
110 K Street,Yes,Office,110 K Street,02127,40000,38.1,89,,Office,1900,145,3.6,1525243,0.96,0.04,,4.4,,0603405060,2014 2015 2016,4661752.705,116.5438176,101.6,0.128225,14.943818,Office,,,
110-112 Cummington Street,Yes,Education,110-112 Cummington Street,02215,48901,6.5,Not Available,,College/University,1923,16.8,0.3,316033,,1,,3.9,,Not Available,2014 2015 2016,331834.965,6.785852334,195.2,0,-188.414148,College/University,,,
111 Cummington Street (664-666 Comm. Ave),Yes,Education,111 Cummington Street (664-666 Comm. Ave),02215,93831,327,Not Available,,College/University,1911,2032.4,21.7,30680665,0.3,0.7,,10.3,,Not Available,2014 2015 2016,51451474.37,548.3419591,195.2,0.644018,353.141959,College/University,,,
111 Huntington Ave,Yes,Office,111 Huntington Ave,02199,1034179,75.5,77,,Office,2001,6806.5,6.6,78114944,0.68,0,0.31,13.9,,0401037500,2014 2015 2016,195849787.6,189.3770688,101.6,0.463504,87.777069,Office,,,
11-19 Deerfield Street,Yes,Office,11-19 Deerfield Street,02215,69435,85.7,88,,Office,1925,377.4,5.4,5948174,0.24,0.76,,10.5,,0503757001,2014 2015 2016,9229186.468,132.918362,101.6,0.235621,31.318362,Office,,,
114 Western Ave,Yes,Office,114 Western Ave,02138,70849,59.6,74,,Office Other Urgent Care/Clinic/Outpatient,1925,396.3,5.6,4225603,0.93,0.07,,7,,2200268000,2014 2015 2016,12650187.7,178.5513938,101.6,0.430976,76.951394,Office,,,
1140 Boylston Street,Yes,Education,1140 Boylston Street,02215,66920,103.4,Not Available,,College/University,1920,552.4,8.3,6917306,0.61,0.39,,8.5,,Not Available,2014 2015 2016,16082044.72,240.3174644,195.2,0.187741,45.117464,College/University,,,
115 Broad Street,Yes,Service,115 Broad Street,02110,56025,48.9,79,,Office,1900,264.7,4.7,2738580,1,0,,7,,Not Available,2016,8599141.2,153.4875716,101.6,0.338057,51.887572,Office,,,
115 � West Roxbury,Yes,Office,1800 Centre St,02481,55929,275.9,71,,Parking Supermarket/Grocery,2002,1293,23.1,15431170,0.7,0.3,,3758.9,,2005752010,2016,38778530.21,693.3528261,25.4,0.963366,667.952826,Supermarket/Grocery Store,,,
116 Huntington,Yes,Office,116 Huntington Ave,02116,287141,59.8,83,,Office Parking Restaurant,1990,1662.4,5.8,17183562,1,,,11.7,,0401013010,2015 2016,53956384.68,187.9090227,101.6,0.459313,86.309023,Office,,,
119,Yes,Office,119 Braintree Street,02134,140974,36.4,99,,Office Parking,1908,402.2,2.9,5137152,0.58,0.42,,5.2,,2201867000,2016,11621265.25,82.43552183,101.6,0,-19.164478,Office,,,
12 Commonwealth Avenue Boston MA,Yes,Unknown,12 Commonwealth Avenue,02116,42860,86.6,84,,Multifamily Housing,1920,286.9,6.7,3710840,0.14,,,35.5,,Not Available,2015 2016,1631285.264,38.06078544,,0,-19.164478,Multifamily Housing,,,
120 Ashford Street,Yes,Warehouse and Storage,120 Ashford Street,02215,65198,155.2,4,,Distribution Center Office Parking,1958,660.3,10.1,10119448,0.28,0.72,,5.6,,2100414000,2014 2015 2016,16547322.02,253.8010679,101.6,0.599686,152.201068,Distribution Center,,,
120 Herald Street,Yes,Other,120 Herald Street,02116,115680,1.9,Not Available,,Other Parking,1967,20.8,0.2,214858,1,,,,,0500515000,2014 2015 2016,674654.12,5.832072268,101.6,0,-95.767928,Other,,,
1230 Washington St,Yes,Other,1234 Washington St,02118,60990,34.1,Not Available,,Manufacturing/Industrial,1926,122.8,2,2080563,0.14,0.86,,8.1,,0306443000,2014 2015 2016,2793363.884,45.80035881,101.6,0,-55.799641,Manufacturing/Industrial Plant,,,
1249 Boylston Street,Yes,Office,1249 Boylston Street,02115,37495,92,Not Available,,Office Retail Store,1950,293.2,7.8,3448525,0.73,0.27,,4.5,,Not Available,2016,8882365.843,236.8946751,101.6,0.571117,135.294675,Office,,,
125 Magazine St,Municipal,Office,125 Magazine St,02119,8100,92.5,63,,Office,2000,47.1,5.8,749253,0.22,0.78,,,,Not Available,2016,1131221.877,139.6570219,101.6,0.272503,38.057022,Office,,,
125 Summer Street,Yes,Office,125 Summer Street,02110,521903,65.6,74,,Office Parking,1989,3311,6.3,34224063,1,,,9.1,,0304256000,2014 2015 2016,107463557.8,205.9071472,101.6,0.506574,104.307147,Office,,,
1255 Boylston Street,Yes,Mercentile,1255 Boylston Street,02215,32835,67.2,45,,Office Retail Store,1950,213.6,6.5,2208054,1,,,2.4,,Not Available,2016,6933289.56,211.1554609,111.2,0.473374,99.955461,Retail Store,,,
126 Brookline Ave,Yes,Mercentile,126 Brookline Ave,02215,61406,260.1,1,,Office Retail Store,1920,1155.5,18.8,15972862,0.44,0.56,,83.9,,Not Available,2016,31460149,512.330212,111.2,0.782952,401.130212,Retail Store,,,
126 Newbury St,Yes,Mercentile,126 Newbury St,02116,49896,14.2,99,,Retail Store,1960,68.6,1.4,709154,1,,,10.9,,Not Available,2016,2226744.816,44.62772198,111.2,0,-66.572278,Retail Store,,,
1260 Boylston Street,Yes,Office,1252-1268 Boylston Street,02215,60000,Not Available,Not Available,,Office Other Restaurant Retail Store,1965,Not Available,0,Not Available,,,,,,Not Available,2014 2015 2016,#VALUE!,#VALUE!,,0,-66.572278,Mixed Use Property,,,
1295 Boylston - Ste# 535088,Yes,Office,1295 BOYLSTON ST,02215,130751,177.2,12,,Office Parking Retail Store,1990,1964.8,15,23166941,0.73,0.27,,9.9,,0504210010,2014 2015 2016,59671089.93,456.3719584,101.6,0.777375,354.771958,Office,,,
131 Dartmouth Street,Yes,Office,131 Dartmouth Street,02116,371000,46.4,95,,Office Parking,2003,1666.9,4.5,17229967,1,,,30.1,,00574000 00572000,2014 2016,54102096.38,145.827753,25.4,0.825822,120.427753,Office,,,
1330 Boylston Street Properties LLC,Yes,Residential,1330 Boylston Street,02215,361502,59.8,Not Available,,Multifamily Housing Office Parking Retail Store,2008,1649.4,4.6,21610361,0.53,0.47,,38.2,,0504314014,2015 2016,46628675.93,128.9859418,,0,120.427753,Multifamily Housing,,,
136 Mass Ave,Yes,Education,150 Mass Ave,02215,36500,18.4,Not Available,,College/University,1900,64.8,1.8,670297,1,,,,,Not Available,2016,2104732.58,57.6639063,195.2,0,-137.536094,College/University,,,
137 Englewood Avenue,Yes,Residential,137 Englewood Avenue,02135,56239,42.4,100,,Multifamily Housing,1935,161,2.9,2381794,0.33,0.67,,39.5,,2102331000,2015 2016,4143607.022,73.67853308,101.6,0,-27.921467,Multifamily Housing,,,
137 Newbury Street,Yes,Office,137 Newbury St.,02116,51150,81.8,60,,Office,1929,337.6,6.6,4186223,0.63,0.37,,15.4,,0501339000,2014 2015 2016,9907533.974,193.6956789,101.6,0.475466,92.095679,Office,,,
1380 Soldiers Field Rd,Yes,Office,1380 Soldiers Field Rd,02134,76962,107.4,51,,Medical Office Office Parking,1990,643.8,8.4,8268281,0.57,0.43,,7.8,,2200578000,2014 2015 2016,18531698.21,240.7902368,101.6,0.578056,139.190237,Office,,,
140 Bay State Road,Yes,Residential,140 Bay State Road,02215,128887,105,55,,Residence Hall/Dormitory,1958,850.2,6.6,13527480,0.22,0.78,,50,,0504003000,2014 2015 2016,20423789.15,158.4627554,101.6,0.35884,56.862755,Residence Hall/Dormitory,,,
140 Clarendon,Yes,Office,140 Clarendon Street,02116,146533,119.7,Not Available,,Barracks Fast Food Restaurant Hotel K-12 School Office Other Other - Lodging/Residential Other - Services Performing Arts Self-Storage Facility Social/Meeting Hall,1930,1442.3,9.8,17534313,0.52,,0.48,40.1,,0401085000,2014 2015 2016,38729790.78,264.3076357,101.6,0.615599,162.707636,Mixed Use Property,,,
140 Humboldt,Yes,Residential,140 Humboldt Ave,02121,44352,44.1,91,,Multifamily Housing,1988,142.4,3.2,1957288,0.45,0.55,,43.2,,1202025000,2015 2016,3895981.764,87.84230168,101.6,0,-13.757698,Multifamily Housing,,,
140 The Fenway,Yes,Education,140 The Fenway,02115,148145,192.4,Not Available,,College/University,1912,2139.7,14.4,28502539,0.5,0.5,,17.6,,Not Available,2014 2015 2016,59712819.21,403.0700949,195.2,0.515717,207.870095,College/University,,,
141 tremont street,Yes,Office,141 tremont street,02111,64884,87.1,36,,Office,1969,546.4,8.4,5648279,1,0,,13.4,,0304800000,2014 2015 2016,17735596.06,273.3431364,101.6,0.628306,171.743136,Office,,,
142 Berkeley Street,Yes,Office,140-144 Berkeley Street,02116,120000,106,88,,Office Personal Services Restaurant Retail Store,1890,1031.3,8.6,12726002,0.3,,,17.8,,0401146000,2016,11987893.6,99.89911335,101.6,0,-1.700887,Office,,,
145 Newton Street,Yes,Other,145 Newton Street,02135,110510,46.3,Not Available,,Manufacturing/Industrial,1965,494.8,4.5,5114723,1,,,1.1,,03428-000,2014 2015 2016,16060230.22,145.3282981,101.6,0.300893,43.728298,Manufacturing/Industrial Plant,,,
1459 Realty Ventures LLC,Yes,Residential,1459-1461 VFW Parkway,02132,90390,85.7,59,,Multifamily Housing Parking,1968,453.1,5,7747559,0.12,0.88,,51.9,,2010637001,2015 2016,10078024.75,111.4949081,,0,43.728298,Multifamily Housing,,,
148 State Street,Yes,Office,148 State Street,02109,64233,77.5,80,,Office Restaurant,1899,356.4,5.5,4979531,0.42,0.58,,13.5,,0303751000,2014 2015 2016,9599539.862,149.4487236,101.6,0.320168,47.848724,Office,,,
15 Broad st,Yes,Office,15 Broad St,02109,73561,86.4,81,,Office,1910,433.2,5.9,6357428,0.34,0.66,,9.5,,0303836000,2014 2015 2016,11192887.74,152.1579062,101.6,0.332273,50.557906,Office,,,
15 Elkins,Yes,Office,15 Elkins Street,02127,36000,118.9,23,,Office,1900,334.4,9.3,4280480,0.57,0.43,,7.4,,0603405060,2014 2015 2016,9593839.824,266.4955507,101.6,0.618755,164.895551,Office,,,
15 Guest Street,Yes,Warehouse and Storage,15 Guest Street,02135,115551,78.9,Not Available,,Office Parking,2001,882.1,7.6,9118229,1,,,1.9,,01907-002,2014 2015 2016,28631239.06,247.7801063,101.6,0.589959,146.180106,Parking,,,
15 St. Mary's Street (736-754 Commonwealth Ave),Yes,Office,15 St. Mary's Street (736-754 Commonwealth Ave),02215,45985,178.4,Not Available,,Laboratory Parking,1990,789.7,17.2,8205239,0.99,0.01,,72.1,,Not Available,2016,25592960.34,556.5501868,101.6,0.817447,454.950187,Laboratory,,,
150 Mass Ave,Yes,Education,150 Mass Ave,02215,216000,112.5,Not Available,,College/University,1900,1788.4,8.3,24300143,0.47,0.53,,35.2,,Not Available,2014 2016,49385180.62,228.6350955,195.2,0.146238,33.435095,College/University,,,
150 Tremont St,Yes,Residential,150 Tremont,02111,147336,71.7,53,,Residence Hall/Dormitory,1908,907.8,6.2,10568865,0.69,0.1,0.21,35.1,,Not Available,2014 2016,26671587.71,181.0255994,101.6,0.438753,79.425599,Residence Hall/Dormitory,,,
151 Merrimac Street,Yes,Office,151 Merrimac Street,02114,42476,31.6,Not Available,,Office,1887,115.3,2.7,1341467,0.75,0.25,,6.8,,0301680000,2016,3511289.873,82.6652668,101.6,0,-18.934733,Office,,,
